Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	26 September 2006	Jakarta , Indonesia	Hard	Varatchaya Wongteanchai	Lavinia Tananta Ayu Fani Damayanti	6–2, 6–4
Winner	19 November 2006	Manila , Philippines	Hard	Varatchaya Wongteanchai	Kao Shao-yuan Thassha Vitayaviroj	3–6, 6–3, 7–6(2)
Runner Up	17 June 2007	Montemor-O-Novo , Portugal	Hard	Varanya Vijuksanaboon	Elisa Balsamo Valentina Sulpizio	6–1, 6–0
Runner Up	27 July 2007	Bangkok , Thailand	Hard	Napaporn Tongsalee	Sophia Mulsup Varatchaya Wongteanchai	4–6, 6–4, 6–1
Winner	24 April 2009	Bol, Croatia	Clay	Martina Borecká	Michaela Pochabová Patricia Veresová	6–3, 6–3
Runner Up	15 May 2010	Tanjung Selor, Indonesia	Hard	Jessy Rompies	Liu Wanting Zhang Ling	7–6(5), 6–3
Runner Up	11 September 2010	Cairns, Australia	Hard	Tyra Calderwood	Tammi Patterson Olivia Rogowska	6–3, 7–6(3)
Runner Up	25 April 2011	Gifu , Japan	Hard	Erika Sema	Chan Yung-jan Chan Hao-ching	6–2, 6–3
Runner Up	7 August 2011	Vancouver , Canada	Hard	Jamie Hampton	Kristýna Plíšková Karolína Plíšková	5–7, 6–2, [10–2]
Winner	26 March 2012	Phuket , Thailand	Hard	Zheng Saisai	Sun Shengnan Han Xinyun	6–3, 6–3
