Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1908	no competition	no competition	no competition	no competition	H. J. H. Inglis Balfour
1909	no competition	no competition	J. H. Cochrane W. Cochrane	no competition	J. Crombie V. I. Todd
1910	no competition	no competition	J. Crombie H. J. H. Inglis	no competition	J. H. Cochrane V. Lamb
1911	no competition	no competition	J. Crombie H. J. H. Inglis	no competition	J. Crombie V. I. Todd
1912	no competition	no competition	J. Crombie H. J. H. Inglis	no competition	J. E. Crabbie D. Addis
1913	no competition	no competition	J. Crombie H. J. H. Inglis	no competition	J. Crombie M. Findlay
1914	no competition	no competition	J. Crombie H. J. H. Inglis	no competition	J. H. Inglish H. C. A. Longmuir
1915 1920	no competition	no competition	no competition	no competition	no competition
1921	No competition	No competition	W. T. Henderson J. W. Millar	No competition	J. Crombie E. C. F. MacDonald
1922	No competition	No competition	W. K. Tillie J. W. Henderson	O'Connor MacLehose	E. R. Butcher M. C. F. Macfarlane
1923	No competition	No competition	R. T. Herbertson H. E. B. Neilson	O'Connor MacLehose	J. Crombie E. C. F. MacDonald
1924	No competition	No competition	E. R. Butcher R. S. Jackson	E. C. F. MacDonald K. M. Cochrane	R. S. Jackson Herriot
1925	No competition	No competition	James Barr H. E. B. Neilson	M. C. F. Macfarlane Marion Armstrong	R. S. Jackson Herriot
1926	No competition	No competition	E. R. Butcher H. E. B. Neilson	E. C. F. MacDonald K. M. Cochrane	E. R. Butcher M. C. F. Macfarlane
1927	No competition	No competition	James Barr H. E. B. Neilson	K. H. Dempster B. S. Dempster	James Barr C. T. Duncan
1928	No competition	No competition	James Barr H. E. B. Neilson	M. K. King Clark D. H. Ramage	James Barr C. T. Duncan
1929	No competition	No competition	James Barr H. E. B. Neilson	M. K. King Clark D. H. Ramage	James Barr C. T. Duncan
1930	No competition	No competition	James Barr H. E. B. Neilson	M. K. King Clark D. H. Ramage	James Barr M. K. King Clark
1931	No competition	No competition	James Barr T. G. Dempster	D. H. Stenhouse J. M. Cassils	James Barr M. K. King Clark
1932	No competition	No competition	James Barr T. G. Dempster	D. H. Stenhouse J. M. Cassils	E. D. Ballantine M. Langmuir
1933	No competition	No competition	J. J. McCarry Murdo MvLean	E. F. Ogilvie Elisabeth Anderson	E. D. Ballantine M. Langmuir
1934	No competition	No competition	E. R. Butcher E. W. Wilson	E. F. Ogilvie Elisabeth Anderson	K. R. Davidson J. R. Stewart
1935	No competition	No competition	E. R. Butcher E. W. Wilson	E. W. Greenwood A. J. Gilzean	E. W. Wilson G. A. Bingham
1936	No competition	No competition	E. D. Ballantine C. Skirving	G. A. Matheson C. B. Alison	E. W. Wilson G. A. Bingham
1937	No competition	No competition	R. W. Stevenson Jr. G. M. Crabbie	C. P. R. Montgomery E. Smart	E. W. Wilson B. H. Cuthbertson
