Round	Pick #	Player	Position	College
1	21	Nate Clements	Cornerback	Ohio State
2	46	Aaron Schobel	Defensive End	TCU
2	58	Travis Henry	Running Back	Tennessee
3	76	Ron Edwards	Defensive Tackle	Texas A&M
3	95	Jonas Jennings	Tackle	Georgia
4	110	Brandon Spoon	Linebacker	North Carolina
5	144	Marques Sullivan	Tackle	Illinois
6	178	Tony Driver	Free Safety	Notre Dame
6	195	Dan O'Leary	Tight End	Notre Dame
6	196	Jimmy R. Williams	Cornerback	Vanderbilt
7	214	Reggie Germany	Wide Receiver	Ohio State
7	238	Tyrone Robertson	Defensive Tackle	Hinds C.C.
