Tie no	Home team	Score	Away team	Date
1	Barrow	2–2	Millwall	6 December 1952
Replay	Millwall	4–1	Barrow	10 December 1952
2	Finchley	3–1	Crystal Palace	10 December 1952
3	Grimsby Town	1–0	Bath City	6 December 1952
4	Swindon Town	2–0	Northampton Town	6 December 1952
5	Shrewsbury Town	0–0	Chesterfield	6 December 1952
Replay	Chesterfield	2–4	Shrewsbury Town	10 December 1952
6	Bishop Auckland	1–4	Coventry City	6 December 1952
7	Tranmere Rovers	2–1	Hartlepools United	6 December 1952
8	Stockport County	3–1	Gillingham	6 December 1952
9	Accrington Stanley	0–2	Mansfield Town	6 December 1952
10	Great Yarmouth Town	1–2	Wrexham	6 December 1952
11	Brighton & Hove Albion	2–0	Norwich City	6 December 1952
12	Bradford City	1–1	Ipswich Town	6 December 1952
Replay	Ipswich Town	5–1	Bradford City	10 December 1952
13	Bradford Park Avenue	1–2	Gateshead	6 December 1952
14	Port Vale	0–3	Oldham Athletic	6 December 1952
15	Halifax Town	4–2	Southport	6 December 1952
16	Newport County	2–1	Gainsborough Trinity	6 December 1952
17	Walthamstow Avenue	1–1	Watford	6 December 1952
Replay	Watford	1–2	Walthamstow Avenue	10 December 1952
18	Hereford United	0–0	Scunthorpe United	6 December 1952
Replay	Scunthorpe United	2–1	Hereford United	11 December 1952
19	Peterborough United	0–1	Bristol Rovers	6 December 1952
20	Colchester United	3–2	Llanelli	6 December 1952
