Poll Source	Dates administered	Democrat: Mark Begich	Republican: Ted Stevens	Lead Maragin
Rasmussen Reports	October 28, 2008	52%	44%	8
Rasmussen Reports	October 6, 2008	48%	49%	1
Ivan Moore Research	September 20–22, 2008	48%	46%	2
Daily Kos/Research 2000	September 15-September 17, 2008	50%	44%	6
Rasmussen Reports	September 9, 2008	48%	46%	2
Moore Information *	September 2–3, 2008	46%	44%	2
Ivan Moore Research	August 30 - September 2, 2008	49%	46%	3
Ivan Moore Research	August 9–12, 2008	56%	39%	17
Ivan Moore Research	July 30–31, 2008	56%	35%	21
Rasmussen Reports	July 30, 2008	50%	37%	13
Ivan Moore Research	July 18–22, 2008	51%	43%	8
Rasmussen Reports	July 17, 2008	52%	44%	8
Research 2000/Daily Kos	July 14–16, 2008	47%	45%	2
Rasmussen Reports	June 16, 2008	44%	46%	2
Rasmussen Reports	May 14, 2008	47%	45%	2
Research 2000	May 12–14, 2008	48%	43%	5
Hellenthal & Associates, DSCC *	May 6–10, 2008	51%	44%	7
Rasmussen Reports	April 7, 2008	45%	46%	1
Research 2000	December 3–6, 2007	47%	41%	6
