Pick	Player	Position	Nationality	NHL team	College/junior/club team
261	Per Gustafsson	Defence	Sweden	Florida Panthers	HV71 (Sweden)
262	Jeremy Stevenson	Left Wing	United States	Mighty Ducks of Anaheim	Sault Ste. Marie Greyhounds (OHL)
263	Rob Mara	Left Wing	United States	Chicago Blackhawks	Belmont Hill High School (HS-Massachusetts)
264	Jason Issel	Left Wing	Canada	Winnipeg Jets	Prince Albert Raiders (WHL)
265	Steve Nimigon	Left Wing	Canada	Hartford Whalers	Niagara Falls Thunder (OHL)
266	Ladislav Benysek	Defence	Czech Republic	Edmonton Oilers	Olomouc HC (Czech Republic)
267	Jamie Butt	Left Wing	Canada	N.Y. Rangers	Tacoma Rockets (WHL)
268	Brian White	Defence	United States	Tampa Bay Lightning	Arlington Catholic High School (HS-Massachusetts)
269	Mike Hanson	Centre	United States	New Jersey Devils	Minot High School (HS-North Dakota)
270	Jan Lipiansky	Forward	Slovakia	Philadelphia Flyers	Slovan Bratislava (Slovakia)
271	David Beauregard	Left Wing	Canada	San Jose Sharks	St. Hyacinthe Lasers (QMJHL)
272	Dick Tarnstrom	Defence	Sweden	New York Islanders	AIK (Sweden)
273	Robert Longpre	Centre	Canada	Vancouver Canucks	Medicine Hat Tigers (WHL)
274	Antti Tormanen	Left Wing	Finland	Ottawa Senators	Jokerit (Finland)
275	Sergei Tertyshny	Defence	Russia	Washington Capitals	Chelyabinsk Traktor (Russia)
276	Scott Fankhouser	Goaltender	United States	St. Louis Blues	University of Massachusetts Lowell (NCAA)
277	Shayne Wright	Defence	Canada	Buffalo Sabres	Owen Sound Platers (OHL)
278	Ross Parsons	Defence	Canada	Montreal Canadiens	Regina Pats (WHL)
279	Pavel Torgayev	Centre	Russia	Calgary Flames	TPS (Finland)
280	Chris Szysky	Right Wing	Canada	Dallas Stars	Swift Current Broncos (WHL)
281	Andrei Yakhanov	Defence	Russia	Boston Bruins	Ufa Salavat Yulayev (Russia)
282	Doug Nolan	Defence	United States	Toronto Maple Leafs	Catholic Memorial High School (HS-Massachusetts)
283	Toivo Suursoo	Left Wing	Estonia	Detroit Red Wings	Krylya Sovetov Moscow (Russia)
284	Brian Leitza	Goaltender	United States	Pittsburgh Penguins	Sioux City Musketeers (USHL)
285	Steven Low	Defence	Canada	Quebec Nordiques	Sherbrooke Faucons (QMJHL)
286	Kim Johnsson	Defence	Sweden	New York Rangers	Malmö IF (Sweden)
