Date	Venue	Opponents	Score	Competition	Match Report
July 5, 2008	Am Steinchen, Grävenwiesbach	Hochtaunus XI	11-0	F	eintracht-archiv.de
July 12, 2008	Parkstadion, Zell am Ziller	WSG Wattens	2-0	F	eintracht-archiv.de
July 16, 2008	MAR Arena, Pyrbaum	SV Seligenporten	1-1	F	eintracht-archiv.de
July 19, 2008	Sportstadion , Wolfsberg	Wolfsberger AC / SK St. Andrä	4-0	F	eintracht-archiv.de
July 22, 2008	Drei-Lärchen-Stadion, Bad Bleiberg	Wigan Athletic	2-0	F	wiganlatics.co.uk
July 26, 2008	TBA, Bad Kleinkirchheim	US Palermo	1-1	F	eintracht-archiv.de
July 30, 2008	FC-Astoria Stadion , Walldorf	FC Astoria Walldorf	0-1	F	eintracht-archiv.de
August 2, 2008	Brettachtalstadion, Bretzfeld	FC Augsburg	1-0	F	eintracht-archiv.de
August 6, 2008	Stadion auf dem Stephanshügel, Limburg an der Lahn	VfR Limburg	19-1	F	eintracht-archiv.de
August 9, 2008	ALNO-Arena , Pfullendorf	SC Pfullendorf	3-0	GC	eintracht-archiv.de
August 12, 2008	Commerzbank-Arena , Frankfurt am Main	Real Madrid	1-1	F	realmadrid.com
August 17, 2008	Commerzbank-Arena , Frankfurt am Main	Hertha BSC Berlin	0-2	BL	ESPN
August 24, 2008	RheinEnergieStadion , Cologne	1. FC Köln	1-1	BL	ESPN
August 26, 2008	Stadion Leeheim, Riedstadt	Riedstadt XI	9-1	F	eintracht-archiv.de
August 30, 2008	Volkswagen Arena , Wolfsburg	VfL Wolfsburg	2-2	BL	ESPN
September 3, 2008	Sportpark Neu-Isenburg, Neu-Isenburg	SpVgg 03 Neu-Isenburg	6-1	F	eintracht-archiv.de
September 16, 2008	Herbert-Dröse-Stadion, Hanau	FC Hanau 93	15-0	F	eintracht-archiv.de
September 20, 2008	Veltins-Arena , Gelsenkirchen	FC Schalke 04	0-1	BL	ESPN
September 23, 2008	Commerzbank-Arena , Frankfurt am Main	FC Hansa Rostock	1-2 ( ET )	GC	eintracht-archiv.de
September 28, 2008	Commerzbank-Arena , Frankfurt am Main	Arminia Bielefeld	1-1	BL	ESPN
September 30, 2008	Am Hopfenbrunnen, Frankfurt - Kalbach	FC Kalbach	7-0	F	eintracht-archiv.de
October 4, 2008	Carl-Benz-Stadion , Mannheim	TSG Hoffenheim	1-2	BL	ESPN
October 18, 2008	Commerzbank-Arena , Frankfurt am Main	Bayer Leverkusen	0-2	BL	ESPN
October 22, 2008	Commerzbank-Arena , Frankfurt am Main	Karlsruher SC	2-1	BL	ESPN
October 25, 2008	Stadion der Freundschaft , Cottbus	Energie Cottbus	3-2	BL	ESPN
October 29, 2008	Commerzbank-Arena , Frankfurt am Main	Bayern Munich	1-2	BL	ESPN
November 2, 2008	Borussia-Park , Mönchengladbach	Borussia Mönchengladbach	2-1	BL	ESPN
November 9, 2008	Commerzbank-Arena , Frankfurt am Main	VfB Stuttgart	2-2	BL	ESPN
November 15, 2008	Westfalenstadion , Dortmund	Borussia Dortmund	0-4	BL	ESPN
November 22, 2008	Commerzbank-Arena , Frankfurt am Main	Hannover 96	4-0	BL	ESPN
November 29, 2008	Weserstadion , Bremen	Werder Bremen	0-5	BL	ESPN
December 6, 2008	Commerzbank-Arena , Frankfurt am Main	VfL Bochum	4-0	BL	ESPN
December 13, 2008	HSH Nordbank Arena , Hamburg	Hamburger SV	0-1	BL	ESPN
January 3, 2008	Gerry Weber Stadion , Halle (Westfalen)	VfL Osnabrück	4-4	IT	eintracht-archiv.de
January 3, 2008	Gerry Weber Stadion , Halle (Westfalen)	MSV Duisburg	6-2	IT	eintracht-archiv.de
January 3, 2008	Gerry Weber Stadion , Halle (Westfalen)	Arminia Bielefeld	6-5	IT (semi-final match)	eintracht-archiv.de
January 3, 2008	Gerry Weber Stadion , Halle (Westfalen)	Rot Weiss Ahlen	4-2	IT (final match)	eintracht-archiv.de
January 4, 2008	Ballsporthalle , Frankfurt am Main	Kickers Offenbach	0-0	IT	eintracht-archiv.de
January 4, 2008	Ballsporthalle , Frankfurt am Main	SV Wehen	4-2	IT	eintracht-archiv.de
January 4, 2008	Ballsporthalle , Frankfurt am Main	Mainz 05	0-1	IT (semi-final match)	eintracht-archiv.de
January 4, 2008	Ballsporthalle , Frankfurt am Main	VfL Wolfsburg	5-3	IT (third place play-off)	eintracht-archiv.de
January 5, 2008	SAP Arena , Mannheim	1. FC Kaiserslautern	0-1	IT	eintracht-archiv.de
January 5, 2008	SAP Arena , Mannheim	TSG Hoffenheim	7-5	IT	eintracht-archiv.de
January 5, 2008	SAP Arena , Mannheim	Brøndby IF	5-2	IT (semi-final match)	eintracht-archiv.de
January 5, 2008	SAP Arena , Mannheim	SV Waldhof Mannheim	4-3	IT (final match)	eintracht-archiv.de
January 11, 2009	Albufeira , Portugal	Rot-Weiß Oberhausen	4-1	F	eintracht-archiv.de
January 13, 2009	Vale do Lobo , Portugal	FC Augsburg	2-3	F	eintracht-archiv.de
January 17, 2009	Stadion Oberwerth , Koblenz	TuS Koblenz	0-0	F	eintracht-archiv.de
January 24, 2009	Playmobil-Stadion , Fürth	SpVgg Greuther Fürth	3-1	F	eintracht-archiv.de
January 31, 2009	Olympic Stadium , Berlin	Hertha BSC Berlin	1-2	BL	ESPN
February 7, 2009	Commerzbank-Arena , Frankfurt am Main	1. FC Köln	2-2	BL	ESPN
February 14, 2009	Commerzbank-Arena , Frankfurt am Main	VfL Wolfsburg	0-2	BL	ESPN
February 21, 2009	Wildparkstadion , Karlsruhe	Karlsruher SC	1-0	BL	ESPN
February 28, 2009	Commerzbank-Arena , Frankfurt am Main	FC Schalke 04	1-2	BL	ESPN
March 8, 2009	SchücoArena , Bielefeld	Arminia Bielefeld	0-0	BL	ESPN
March 14, 2009	Commerzbank-Arena , Frankfurt am Main	TSG Hoffenheim	1-1	BL	ESPN
March 21, 2009	Rheinstadion , Düsseldorf	Bayer Leverkusen	1-1	BL	ESPN
March 27, 2009	Stadion am Halberg , Taunusstein	SV Wehen	0-2	F	eintracht-archiv.de
April 4, 2009	Commerzbank-Arena , Frankfurt am Main	Energie Cottbus	2-1	BL	ESPN
April 11, 2009	Allianz Arena , Munich	Bayern Munich	0-4	BL	ESPN
