Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Novi Sad	Нови Сад	city	250439	Serbs	Orthodox Christianity
Futog	Футог	town	18641	Serbs	Orthodox Christianity
Begeč	Бегеч	village	3325	Serbs	Orthodox Christianity
Budisava	Будисава	village	3656	Serbs	Orthodox Christianity
Čenej	Ченеј	village	2125	Serbs	Orthodox Christianity
Kać	Каћ	village	11740	Serbs	Orthodox Christianity
Kisač	Кисач (Slovak: Kysáč)	village	5091	Slovaks	Protestantism
Kovilj	Ковиљ	village	5414	Serbs	Orthodox Christianity
Rumenka	Руменка	village	6495	Serbs	Orthodox Christianity
Stepanovićevo	Степановићево	village	2021	Serbs	Orthodox Christianity
