Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 15	Los Angeles Rams	L 10–17	Mile High Stadium	0–1	51121
2	September 22	Pittsburgh Steelers	T 35–35 (OT)	Mile High Stadium	0–1–1	51068
3	September 30	at Washington Redskins	L 30–3	RFK Stadium	0–2–1	54395
4	October 6	at Kansas City Chiefs	W 17–14	Arrowhead Stadium	1–2–1	67298
5	October 13	New Orleans Saints	W 33–17	Mile High Stadium	2–2–1	50881
6	October 20	San Diego Chargers	W 27–7	Mile High Stadium	3–2–1	50928
7	October 27	at Cleveland Browns	L 21–23	Cleveland Stadium	3–3–1	60478
8	November 3	Oakland Raiders	L 17–28	Mile High Stadium	3–4–1	45946
9	November 10	at Baltimore Colts	W 17–6	Memorial Stadium	4–4–1	33244
10	November 18	Kansas City Chiefs	L 34–42	Mile High Stadium	4–5–1	50236
11	November 24	at Oakland Raiders	W 20–17	Oakland-Alameda County Coliseum	5–5–1	51224
12	November 28	at Detroit Lions	W 31–27	Tiger Stadium	6–5–1	51157
13	December 8	Houston Oilers	W 37–14	Mile High Stadium	7–5–1	46942
