Year	Album	U.S.	U.S. Christian	U.S. Indie
1983	Sneak Preview (as Sneak Preview)	—	—	—
1988	Out of the Silent Planet	144	—	—
1989	Gretchen Goes to Nebraska	123	—	—
1990	Faith Hope Love	85	31	—
1992	King's X	138	—	—
1994	Dogman	88	—	—
1996	Ear Candy	105	4	—
1997	Best of King's X	—	—	—
1998	Tape Head	—	—	—
2000	Please Come Home... Mr. Bulbous	—	—	—
2001	Manic Moonlight	—	—	19
2003	Black Like Sunday	—	—	13
2004	Live All Over the Place	—	—	—
2005	Rehearsal CD Vol. 1 (EP)	—	—	—
2005	Ogre Tones	—	—	30
2007	Live & Live Some More	—	—	—
2008	XV	145	167	12
2009	Tales From the Empire	—	—	—
2010	Live Love in London	—	—	—
2012	Burning Down Boston	—	—	—
