Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
35005	M	Notre-Dame-de-Montauban	163.53	784	Mékinac	04
35010	P	Lac-aux-Sables	285.45	1,389	Mékinac	04
35015	P	Saint-Adelphe	135.35	971	Mékinac	04
35020	P	Saint-Séverin	61.97	908	Mékinac	04
35027	V	Saint-Tite	91.01	3,862	Mékinac	04
35035	P	Hérouxville	54.51	1,301	Mékinac	04
35040	VL	Grandes-Piles	115.38	380	Mékinac	04
35045	P	Saint-Roch-de-Mékinac	155.39	309	Mékinac	04
35050	M	Sainte-Thècle	216.64	2,499	Mékinac	04
35055	M	Trois-Rives	675.09	487	Mékinac	04
36033	V	Shawinigan	781.81	51,593	Not part of a RCM	04
37067	V	Trois-Rivières	288.50	126,603	Not part of a RCM	04
37205	M	Sainte-Anne-de-la-Pérade	107.94	2,160	Les Chenaux	04
37210	M	Batiscan	44.02	964	Les Chenaux	04
37215	P	Sainte-Geneviève-de-Batiscan	97.09	1,110	Les Chenaux	04
37220	M	Champlain	58.59	1,589	Les Chenaux	04
37225	M	Saint-Luc-de-Vincennes	52.73	614	Les Chenaux	04
37230	P	Saint-Maurice	90.33	2,348	Les Chenaux	04
37235	P	Notre-Dame-du-Mont-Carmel	126.61	5,217	Les Chenaux	04
37240	P	Saint-Narcisse	103.49	1,851	Les Chenaux	04
37245	M	Saint-Stanislas	86.37	1,066	Les Chenaux	04
37250	M	Saint-Prosper-de-Champlain	92.03	550	Les Chenaux	04
51008	M	Maskinongé	75.98	2,278	Maskinongé	04
51015	V	Louiseville	62.56	7,776	Maskinongé	04
51020	M	Yamachiche	106.30	2,683	Maskinongé	04
51025	P	Saint-Barnabé	58.81	1,212	Maskinongé	04
51030	P	Saint-Sévère	31.83	335	Maskinongé	04
51035	P	Saint-Léon-le-Grand	72.57	961	Maskinongé	04
51040	P	Sainte-Ursule	65.37	1,475	Maskinongé	04
51045	P	Saint-Justin	82.46	1,024	Maskinongé	04
51050	M	Saint-Édouard-de-Maskinongé	55.06	776	Maskinongé	04
51055	M	Sainte-Angèle-de-Prémont	38.51	616	Maskinongé	04
51060	M	Saint-Paulin	96.40	1,603	Maskinongé	04
51065	P	Saint-Alexis-des-Monts	1,153.85	3,119	Maskinongé	04
51070	M	Saint-Mathieu-du-Parc	196.45	1,294	Maskinongé	04
51075	M	Saint-Élie-de-Caxton	118.75	1,577	Maskinongé	04
51080	M	Charette	42.55	958	Maskinongé	04
51085	M	Saint-Boniface	112.12	4,056	Maskinongé	04
51090	P	Saint-Étienne-des-Grès	103.52	3,968	Maskinongé	04
90012	V	La Tuque	28,421.48	12,193	Not part of a RCM	04
90017	M	La Bostonnais	295.60	545	Not part of a RCM	04
90027	M	Lac-Édouard	979.75	146	Not part of a RCM	04
