Year(s)	Final television commentator	Radio commentator	Spokesperson	Semi-final television commentator	Semi-final second television commentator
1956	Wilfrid Thomas	Unknown	UK did not participate	No semi-finals	No semi-finals
1957	Berkeley Smith	Tom Sloan	David Jacobs	No semi-finals	No semi-finals
1958	Peter Haigh	Tom Sloan	UK did not participate	No semi-finals	No semi-finals
1959	Tom Sloan	Pete Murray	Pete Murray	No semi-finals	No semi-finals
1960	David Jacobs	Pete Murray	Nick Burrell-Davis	No semi-finals	No semi-finals
1961	Tom Sloan	Pete Murray	Michael Aspel	No semi-finals	No semi-finals
1962	David Jacobs	Peter Haigh	Alex Macintosh	No semi-finals	No semi-finals
1963	David Jacobs	Michael Aspel	Nicholas Parsons	No semi-finals	No semi-finals
1964	David Jacobs	Tom Sloan	Michael Aspel	No semi-finals	No semi-finals
1965	David Jacobs	David Gell	Michael Aspel	No semi-finals	No semi-finals
1966	David Jacobs	John Dunn	Michael Aspel	No semi-finals	No semi-finals
1967	Rolf Harris	Richard Baker	Michael Aspel	No semi-finals	No semi-finals
1968	No commentator	Pete Murray	Michael Aspel	No semi-finals	No semi-finals
1969	Michael Aspel	Tony Brandon	Colin-Ward Lewis	No semi-finals	No semi-finals
1970	David Gell	Tony Brandon	Colin-Ward Lewis	No semi-finals	No semi-finals
1971	Dave Lee Travis	Terry Wogan	No spokesperson	No semi-finals	No semi-finals
1972	Tom Fleming	Pete Murray	No spokesperson	No semi-finals	No semi-finals
1973	Terry Wogan	Pete Murray	No spokesperson	No semi-finals	No semi-finals
1974	David Vine	Terry Wogan	Colin-Ward Lewis	No semi-finals	No semi-finals
1975	Pete Murray	Terry Wogan	Ray Moore	No semi-finals	No semi-finals
1976	Michael Aspel	Terry Wogan	Ray Moore	No semi-finals	No semi-finals
1977	Pete Murray	Terry Wogan	Colin Berry	No semi-finals	No semi-finals
1978	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1979	John Dunn	Terry Wogan	Colin Berry	No semi-finals	No semi-finals
1980	Terry Wogan	Steve Jones	Ray Moore	No semi-finals	No semi-finals
1981	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1982	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1983	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1984	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1985	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1986	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1987	Terry Wogan	Ray Moore	Colin Berry	No semi-finals	No semi-finals
1988	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1989	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1990	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1991	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1992	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1993	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1994	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1995	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1996	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1997	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
1998	Terry Wogan	Ken Bruce	Ken Bruce	No semi-finals	No semi-finals
1999	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
2000	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
2001	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
2002	Terry Wogan	Ken Bruce	Colin Berry	No semi-finals	No semi-finals
2003	Terry Wogan	Ken Bruce	Lorraine Kelly	No semi-finals	No semi-finals
2004	Terry Wogan	Ken Bruce	Lorraine Kelly	Paddy O'Connell	No dual commentator
2005	Terry Wogan	Ken Bruce	Cheryl Baker	Paddy O'Connell	No dual commentator
2006	Terry Wogan	Ken Bruce	Fearne Cotton	Paddy O'Connell	No dual commentator
2007	Terry Wogan	Ken Bruce	Fearne Cotton	Paddy O'Connell	Sarah Cawood
2008	Terry Wogan	Ken Bruce	Carrie Grant	Paddy O'Connell	Caroline Flack
2009	Graham Norton	Ken Bruce	Duncan James	Paddy O'Connell	Sarah Cawood
2010	Graham Norton	Ken Bruce	Scott Mills	Paddy O'Connell	Sarah Cawood
2011	Graham Norton	Ken Bruce	Alex Jones	Scott Mills	Sara Cox
2012	Graham Norton	Ken Bruce	Scott Mills	Scott Mills	Sara Cox
