Shooter	Event	Rank points	Score points	Total
Erminio Frasca ( ITA )	WCF 2007	Defending champion	Defending champion	Defending champion
David Kostelecký ( CZE )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Giovanni Pellielo ( ITA )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Aleksei Alipov ( RUS )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Michael Diamond ( AUS )	WC Kerrville	15	13	28
Stéphane Clamens ( FRA )	WC Belgrade	15	12	27
Mário Filipovič ( SVK )	WC Beijing	15	8	23
Bret Erickson ( USA )	WC Suhl	10	12	22
Dominic Grazioli ( USA )	WC Kerrville	8	13	21
Massimo Fabbrizi ( ITA )	WC Belgrade	10	11	21
Massimiliano Mola ( ITA )	WC Kerrville	10	10	20
Francesco Amici ( SMR )	WC Belgrade	8	10	18
