GS Grade	Step 1	Step 2	Step 3	Step 4	Step 5	Step 6	Step 7	Step 8	Step 9	Step 10
1	$17,803	$18,398	$18,990	$19,579	$20,171	$20,519	$21,104	$21,694	$21,717	$22,269
2	$20,017	$20,493	$21,155	$21,717	$21,961	$22,607	$23,253	$23,899	$24,545	$25,191
3	$21,840	$22,568	$23,296	$24,024	$24,752	$25,480	$26,208	$26,936	$27,664	$28,392
4	$24,518	$25,335	$26,152	$26,969	$27,786	$28,603	$29,420	$30,237	$31,054	$31,871
5	$27,531	$28,345	$29,259	$30,173	$31,087	$32,001	$32,915	$33,829	$34,743	$35,657
6	$30,577	$31,596	$32,615	$33,634	$34,653	$35,672	$36,691	$37,710	$38,729	$39,748
7	$33,979	$35,112	$36,245	$37,378	$38,511	$39,644	$40,777	$41,910	$43,043	$44,176
8	$37,631	$38,885	$40,139	$41,393	$42,647	$43,901	$45,155	$46,409	$47,663	$48,917
9	$41,563	$42,948	$44,333	$45,718	$47,103	$48,488	$49,873	$51,258	$52,643	$54,028
10	$45,771	$47,297	$48,823	$50,349	$51,875	$53,401	$54,927	$56,453	$57,979	$59,505
11	$50,287	$51,963	$53,639	$55,315	$56,991	$58,667	$60,343	$62,019	$63,695	$65,371
12	$60,274	$62,283	$64,292	$66,301	$68,310	$70,319	$72,328	$74,337	$76,346	$78,355
13	$71,674	$74,063	$76,452	$78,841	$81,230	$83,619	$86,008	$88,397	$90,786	$93,175
14	$84,697	$87,520	$90,343	$93,166	$95,989	$98,812	$101,635	$104,458	$107,281	$110,104
