Language/dialect	Mana	Kamu	Mahu	Pergi	Dengan	Basikal	Boleh	-kah (atau tidak)	Saya	Ikut
English proximate literal translation	where	you	want	to go	with	bicycle	can/may	or not	I	follow
Standard Malaysian Malay (formal)	mana	kamu	mahu	pergi	dengan	basikal	boleh	kah	saya	ikut
Malay language (informal)	mane	ko	nak	pegi	ngan	basikal	boleh	~omitted~	aku	ikut
Standard Indonesian Malay (formal)	mana	kamu	mau	pergi	dengan	sepeda	bisa	kah	saya	ikut
Indonesian (informal)	mana	lu	mau	~omitted~	~substituted with 'naik'~	sepeda	boleh	nggak	~omitted~	ikut
Singapore Malay (formal)	mana	awak	hendak	pergi	dengan	basikal	boleh	~omitted~	saya	ikut
Singapore Malay (informal)	mane	ko	nak	pegi	ngan	basikal	boleh	~omitted~	aku	ikut
Johor / Kuala Lumpur dialect	mane	kau	nak	pergi	dengan	basikal	boleh	~omitted~	saye	ikut
Bengkulu dialect	mano	kau	ndak	pergi	kek	sepedo	bulih	idak	aku	ikuik
Jambi dialect	mano	kau	nak	pergi	~substituted with 'naek'~	sepedo	biso	dak	aku	ikut
Palembang dialect	mano	kau	nak	pergi	~substituted with 'naek'~	sepedo	pacak	dak	aku	melok
Bangka dialect	mane	ka	nek	pergi	~substituted with 'naek'~	ketangin	boleh	dak	ku	ngikut
Belitung dialect	mane	ikam	nak	pergi	~substituted with 'naek'~	ketangin	bisak	ndak	aku	ngikut
Banjar Malay	-mana	ikam/kawu	handak	tulak	ba-	sapeda	kawa	kada'	aku	umpat
Kedah dialect	mana	hang	nak	pi	~substituted with 'naik'~	gerek	buleh	dak	aku	ikut
Baling dialect	mano	mu / dema	nok	gi	~substituted with 'naik'~	gerek	buleh	dok	ku / ambe	ikut
Terengganu dialect	mane	mung	nok	gi	~substituted with 'naik/nge'~	basika	buleh	dok	ambe	ikut
Kelantan dialect	mano	demo	nok	gi	~substituted with 'naik/ngey'~	basika	buleh	dok	kawe	turuk
Pahang dialect	kone	awok	nok	gi	~substituted with 'naik/ngan'~	sike	boleh	tok	kome/koi/kas/kawan/kawas	ikut
Perak dialect	mane	mike	nak	~omitted~	~substituted with 'naik'~	sika	buleh	~omitted~	teman	ngekor
Penang dialect	mana	hang	nak	pi	~substituted with 'naik'~	basikal	boleh	tak	aku	ikut
Brunei Malay	-mana	kau	~omitted~	~omitted~	ba-	-biskal	bulih	~omitted~	ku	ikut
Sarawak Malay	sine	kitak	maok	~omitted~	make	basikal	boleh	sik	kamik	ngekot
Sabah Malay	mana	ko	mo	pigi	sama	beskal	buli	ka	sia	ikut
Pontianak dialect	mane	kitak	nak	pergi	~substituted with 'naik'~	sepeda	bulih	tadak	kamek	ikut
Minangkabau	-ma	kau	nio	pai	jo	kareta angin	buliah	ndak	den	ikuik
Negeri Sembilan	mano	ekau	nak	poie	~substituted with 'naik'~	basikal	boleh	~omitted~	den	ikut
Rawa	mano	kao	nak	poie	~substituted with 'nek'~	basika	buleh	ko indo	~omitted~	ikoiyt
