Date	Venue	Score	Result	Competition
14 May 2002	Millennium Stadium , Cardiff , Wales	1–0	1–0	Friendly
12 February 2003	Millennium Stadium, Cardiff, Wales	1–0	2–2	Friendly
11 October 2003	Millennium Stadium, Cardiff, Wales	2–3	2–3	UEFA Euro 2004 Qual.
18 February 2004	Millennium Stadium, Cardiff, Wales	1–0	4–0	Friendly
18 February 2004	Millennium Stadium, Cardiff, Wales	2–0	4–0	Friendly
18 February 2004	Millennium Stadium, Cardiff, Wales	3–0	4–0	Friendly
31 March 2004	Stadium Puskás Ferenc , Budapest , Hungary	1–2	1–2	Friendly
8 September 2004	Millennium Stadium, Cardiff, Wales	2–2	2–2	2006 FIFA World Cup Qual.
13 October 2004	Millennium Stadium, Cardiff, Wales	1–0	2–3	2006 FIFA World Cup Qual.
27 May 2006	UPC-Arena , Graz , Austria	1–1	1–2	Friendly
27 May 2006	UPC-Arena , Graz , Austria	1–2	1–2	Friendly
11 October 2006	Millennium Stadium, Cardiff, Wales	2–0	3–1	UEFA Euro 2008 Qual.
17 October 2007	Stadio Olimpico , Serravalle , San Marino	1–0	1–2	UEFA Euro 2008 Qual.
29 May 2009	Parc y Scarlets , Llanelli , Wales	1–0	1–0	Friendly
25 May 2011	Aviva Stadium , Dublin , Ireland	1–0	1–3	2011 Nations Cup
27 May 2011	Aviva Stadium, Dublin, Ireland	2–0	2–0	2011 Nations Cup
