Date	Presenter	Guest 1	Guest 2	Guest 3	Guest 4
5 September	Colin Murray	Greg Brady	Mark Watson	Des Kelly	Simon Jones (debut)
12 September	Colin Murray	John Rawling	Steve Lamacq	Simon Day	Stewart Robson (debut)
19 September	Colin Murray	Martin Kelner	Eleanor Oldroyd	Ian Stone	David Ginola (debut)
26 September	Colin Murray	Dougie Anderson	Will Buckley	Jim White	Alun Cochrane (debut)
3 October	Colin Murray	Eleanor Oldroyd	Greg Brady	Gary O'Reilly	Ian Moore
10 October	Colin Murray	John Rawling	Austin Healey	Mark Watson	Iyare Igiehon
17 October	Colin Murray	Will Buckley	Tom Watt	Kevin Bridges (debut)	Darren Campbell (debut)
24 October Live in Hull	Colin Murray	Martin Kelner	Greg Brady	John Rawling	Dean Windass (debut)
31 October	Colin Murray	John Bishop	Matt Holland (debut)	Jim White	Dougie Anderson
7 November	Colin Murray	Gail Emms	Jeff Probyn	Gary O'Reilly	Terry Alderton (debut)
14 November Live in Leeds	Colin Murray	Des Kelly	Martin Kelner	Ian Stone	Michael Vaughan (debut)
21 November	Colin Murray	Greg Brady	David Croft	Eleanor Oldroyd	Henning Wehn
28 November	Colin Murray	Paul Sinha	Perry Groves	Steve Lamacq	Will Buckley
5 December	Colin Murray	Simon Day	Iwan Thomas	Iyare Igiehon	Tom Watt
12 December Live in Sheffield	Colin Murray	Martin Kelner	John Rawling	Jake Humphrey (debut)	John Bishop
19 December	Colin Murray	Dougie Anderson	Greg Brady	Gideon Coe (debut)	Ian Stone
26 December Comedians special	Colin Murray	Jim Jeffries	Bob Mills	John Bishop	Dara Ó Briain (debut)
2 January	Chris Hollins	Bob Mills	Will Buckley	Perry Groves	Gary O'Reilly
9 January	Alan Davies	Eleanor Oldroyd	Martin Kelner	Des Kelly	Mark Watson
16 January	Colin Murray	John Rawling	Sue Mott	Iyare Igiehon	Paul Tonkinson
23 January	Colin Murray	Jim White	Simon Day	Stewart Robson	David Croft
30 January	Colin Murray	Greg Brady	Tom Watt	Matt Holland	John Bishop
6 February	Colin Murray	Dougie Anderson	Ian Stone	Jeff Probyn	Will Buckley
13 February	Colin Murray	Bob Mills	Lawrie Sanchez	John Rawling	Henning Wehn
20 February	Colin Murray	Martin Kelner	Steve Lamacq	Gary O'Reilly	Jon Richardson (debut)
27 February	Colin Murray	Perry Groves	Des Kelly	Iwan Thomas	Ian Moore
6 March	Colin Murray	Austin Healey	Kevin Bridges	Iyare Igiehon	Greg Brady
13 March	Colin Murray	Bob Mills	John Rawling	Cornelius Lysaght	Christian Malcolm (debut)
20 March	Colin Murray	Will Buckley	Ian Stone	Gideon Coe	Martin Bayfield (debut)
27 March	Colin Murray	Steve Bunce	Eleanor Oldroyd	Jim White	Simon Day
3 April	Colin Murray	Steve Bull (debut)	Martin Kelner	Greg Brady	Mark Watson
17 April	Colin Murray	Henning Wehn	Gary O'Reilly	Darren Campbell	Dougie Anderson
24 April Runners' special	Colin Murray	Kriss Akabusi	Roger Black	Katharine Merry (debut)	Simon Day
1 May	Colin Murray	John Rawling	Nihal	Kevin Bridges	Tom Watt
3 May Election special	Richard Bacon	Caroline Flint (debut) ( Labour )	Eric Pickles (debut) ( Conservative )	Edward Davey (debut) ( Lib Dem )	Mark Watson
8 May	Colin Murray	Andy Parsons	Martin Kelner	Sue Mott	Des Kelly
15 May	Colin Murray	Greg Brady	Ian Stone	Steve Bunce	Kit Symons (debut)
22 May UEFA CL special	Colin Murray	Bob Mills	Dougie Anderson	John Rawling	Martin Kelner
