Week	Date	Opponent	Result	Attendance
1	September 29, 1952	at Chicago Cardinals	W 23-7	17,837
2	October 5, 1952	at Green Bay Packers	L 35-20	9,657
3	October 12, 1952	Chicago Cardinals	L 17-6	24,600
4	October 19, 1952	at Pittsburgh Steelers	W 28-24	22,604
5	October 26, 1952	at Cleveland Browns	L 19-15	32,496
6	November 2, 1952	Pittsburgh Steelers	L 24-23	25,866
7	November 9, 1952	at Philadelphia Eagles	L 38-20	16,932
8	November 16, 1952	San Francisco 49ers	L 23-17	28,997
9	November 23, 1952	New York Giants	L 14-10	21,125
10	November 30, 1952	Cleveland Browns	L 48-21	22,679
11	December 7, 1952	at New York Giants	W 27-17	21,237
12	December 14, 1952	Philadelphia Eagles	W 27-21	22,468
