Round	Date	Home	Result	Visitor	Venue	Attendance
7	Thursday, October 2	Rögle BK	4–1	Södertälje SK	Lindab Arena	4,008
7	Thursday, October 2	Linköpings HC	3–2 (OT)	Djurgårdens IF	Cloetta Center	6,778
7	Thursday, October 2	Modo Hockey	4–3	Timrå IK	Swedbank Arena	7,410
7	Thursday, October 2	Skellefteå AIK	3–0	Färjestads BK	Skellefteå Kraft Arena	5,148
7	Thursday, October 2	Luleå HF	2–4	Brynäs IF	COOP Arena	3,864
8	Saturday, October 4	Brynäs IF	2–0	Linköpings HC	Läkerol Arena	7,287
8	Saturday, October 4	Timrå IK	4–5	Rögle BK	E.ON Arena	5,306
8	Saturday, October 4	Södertälje SK	4–3 (OT)	Luleå HF	AXA Sports Center	4,077
8	Saturday, October 4	Färjestads BK	1–3	Modo Hockey	Löfbergs Lila Arena	6,131
20	Saturday, October 4	HV71	3–2	Djurgårdens IF	Kinnarps Arena	6,908
8	Sunday, October 5	Frölunda HC	2–1	Skellefteå AIK	Scandinavium	11,488
10	Monday, October 6	Linköpings HC	4–1	Luleå HF	Cloetta Center	5,611
2	Tuesday, October 7	Djurgårdens IF	2–1	Timrå IK	Hovet	5,828
9	Thursday, October 9	Luleå HF	8–2	Frölunda HC	COOP Arena	4,180
9	Thursday, October 9	Skellefteå AIK	5–2	Brynäs IF	Skellefteå Kraft Arena	5,296
9	Thursday, October 9	Modo Hockey	1–5	HV71	Swedbank Arena	6,024
9	Thursday, October 9	Rögle BK	3–3	Djurgårdens IF	Lindab Arena	4,973
9	Thursday, October 9	Södertälje SK	5–2	Timrå IK	AXA Sports Center	3,219
9	Thursday, October 9	Färjestads BK	0–3	Linköpings HC	Löfbergs Lila Arena	5,125
10	Saturday, October 11	Timrå IK	4–6	Färjestads BK	E.ON Arena	4,961
10	Saturday, October 11	HV71	3–2 (OT)	Rögle BK	Kinnarps Arena	7,038
10	Saturday, October 11	Djurgårdens IF	1–5	Frölunda HC	Hovet	6,055
10	Saturday, October 11	Brynäs IF	1–0	Södertälje SK	Läkerol Arena	6,578
10	Saturday, October 11	Skellefteå AIK	4–2	Modo Hockey	Skellefteå Kraft Arena	5,820
11	Monday, October 13	Timrå IK	3–2 (OT)	Skellefteå AIK	E.ON Arena	4,889
11	Monday, October 13	Södertälje SK	2–4	Djurgårdens IF	AXA Sports Center	4,611
11	Monday, October 13	Frölunda HC	1–1	Brynäs IF	Scandinavium	11,188
11	Tuesday, October 14	Färjestads BK	4–2	HV71	Löfbergs Lila Arena	6,023
11	Tuesday, October 14	Rögle BK	3–2	Linköpings HC	Lindab Arena	4,764
11	Tuesday, October 14	Modo Hockey	3–2 (OT)	Luleå HF	Swedbank Arena	5,809
12	Thursday, October 16	HV71	2–1 (OT)	Timrå IK	Kinnarps Arena	6,849
12	Thursday, October 16	Linköpings HC	4–0	Färjestads BK	Cloetta Center	8,040
12	Thursday, October 16	Djurgårdens IF	2–1 (OT)	Rögle BK	Hovet	4,679
12	Thursday, October 16	Brynäs IF	5–1	Skellefteå AIK	Läkerol Arena	5,197
12	Thursday, October 16	Modo Hockey	3–2	Frölunda HC	Swedbank Arena	5,492
12	Thursday, October 16	Luleå HF	6–2	Södertälje SK	COOP Arena	5,340
13	Saturday, October 18	Skellefteå AIK	4–1	Luleå HF	Skellefteå Kraft Arena	6,001
13	Saturday, October 18	Frölunda HC	5–3	HV71	Scandinavium	12,044
13	Saturday, October 18	Färjestads BK	5–1	Brynäs IF	Löfbergs Lila Arena	7,144
13	Saturday, October 18	Södertälje SK	2–3 (OT)	Modo Hockey	AXA Sports Center	3,801
13	Saturday, October 18	Djurgårdens IF	3–1	Linköpings HC	Hovet	5,657
13	Saturday, October 18	Rögle BK	5–1	Timrå IK	Lindab Arena	4,837
14	Tuesday, October 21	Frölunda HC	2–2	Färjestads BK	Scandinavium	11,715
8	Tuesday, October 21	HV71	2–2	Djurgårdens IF	Kinnarps Arena	6,987
14	Thursday, October 23	HV71	6–3	Södertälje SK	Kinnarps Arena	6,851
14	Thursday, October 23	Rögle BK	1–2	Skellefteå AIK	Lindab Arena	4,801
14	Thursday, October 23	Timrå IK	3–1	Brynäs IF	E.ON Arena	5,540
14	Thursday, October 23	Modo Hockey	3–5	Linköpings HC	Swedbank Arena	5,514
14	Thursday, October 23	Luleå HF	4–5 (OT)	Djurgårdens IF	COOP Arena	5,501
15	Saturday, October 25	Färjestads BK	2–3	Rögle BK	Löfbergs Lila Arena	6,788
15	Saturday, October 25	Södertälje SK	2–3	Skellefteå AIK	AXA Sports Center	4,515
15	Saturday, October 25	HV71	2–5	Modo Hockey	Kinnarps Arena	7,020
15	Saturday, October 25	Brynäs IF	2–4	Luleå HF	Läkerol Arena	8,180
15	Saturday, October 25	Linköpings HC	2–3 (OT)	Frölunda HC	Cloetta Center	8,500
15	Saturday, October 25	Timrå IK	3–2 (OT)	Djurgårdens IF	E.ON Arena	5,373
16	Monday, October 27	Linköpings HC	1–2 (OT)	HV71	Cloetta Center	8,500
16	Monday, October 27	Luleå HF	1–0	Färjestads BK	COOP Arena	5,207
16	Monday, October 27	Rögle BK	6–3	Frölunda HC	Lindab Arena	5,040
16	Tuesday, October 28	Djurgårdens IF	3–5	Södertälje SK	Hovet	7,483
16	Tuesday, October 28	Skellefteå AIK	3–4 (OT)	Timrå IK	Skellefteå Kraft Arena	5,751
16	Tuesday, October 28	Modo Hockey	6–0	Brynäs IF	Swedbank Arena	6,506
17	Thursday, October 30	Färjestads BK	2–1	Djurgårdens IF	Löfbergs Lila Arena	7,652
17	Thursday, October 30	Södertälje SK	4–5 (OT)	Linköpings HC	AXA Sports Center	3,855
17	Thursday, October 30	Frölunda HC	3–1	Luleå HF	Scandinavium	11,537
17	Thursday, October 30	Brynäs IF	1–2	Rögle BK	Läkerol Arena	5,801
17	Thursday, October 30	Skellefteå AIK	5–1	HV71	Skellefteå Kraft Arena	5,665
17	Thursday, October 30	Timrå IK	0–4	Modo Hockey	E.ON Arena	6,000
