Pick	Player	Country of origin*	PBA team	College
1	Willie Miller *	Philippines	Red Bull Thunder	Letran
2	Mike Hrabak	United States	Shell Turbo Chargers	Central Arizona
3	Mark Caguioa *	Philippines	Barangay Ginebra Kings	Glendale
4	Gilbert Demape	Philippines	Mobiline Phone Pals	Cebu tech
5	John Arigo #	United States	Alaska Aces	North Florida
6	Francis Adriano	Philippines	Sta. Lucia Realtors	Far Eastern / PSBA
7	Norman Gonzales	Philippines	Mobiline Phone Pals	San Beda
8	Marvin Ortiguerra	Philippines	Sta. Lucia Realtors	Santo Tomas
9	Roger Yap *	Philippines	Purefoods Tender Juicy Hotdogs	San Jose
10	Joey Mente	Philippines	San Miguel Beermen	Lyceum
