Heat	Lane	Name	Nationality	Time
7	4	Inge de Bruijn	Netherlands	54.77
5	5	Dara Torres	United States	55.12
6	4	Jenny Thompson	United States	55.22
6	5	Martina Moravcová	Slovakia	55.42
7	2	Helene Muller	South Africa	55.45
7	5	Therese Alshammar	Sweden	55.49
5	3	Sandra Völker	Germany	55.54
6	3	Sue Rolph	Great Britain	55.77
5	2	Sumika Minamoto	Japan	55.80
7	6	Wilma van Rijn	Netherlands	55.82
6	2	Louise Jöhncke	Sweden	55.91
6	6	Sarah Ryan	Australia	56.05
5	6	Karen Pickering	Great Britain	56.08
7	7	Laura Nicholls	Canada	56.30
4	1	Rania Elwani	Egypt	56.31
5	7	Alena Popchanka	Belarus	56.33
4	3	Hanna-Maria Seppälä	Finland	56.68
3	6	Olga Mukomol	Ukraine	56.69
7	8	Han Xue	China	56.79
6	7	Yekaterina Kibalo	Russia	56.97
4	4	Cristina Chiuso	Italy	57.09
6	1	Joscelin Yeo	Singapore	57.15
4	2	Florencia Szigeti	Argentina	57.20
2	6	Leah Martindale	Barbados	57.21
5	1	Antonia Machaira	Greece	57.24
6	8	Ilona Hlaváčková	Czech Republic	57.37
5	8	Judith Draxler	Austria	57.40
3	4	Kirsty Coventry	Zimbabwe	57.47
2	4	Elina Partõka	Estonia	57.71
3	5	Gyöngyver Lakos	Hungary	57.71
7	3	Susie O'Neill	Australia	57.78
4	8	Eileen Coparropa	Panama	57.82
4	6	Monique Robins	New Zealand	57.85
2	2	Siobhan Cropper	Trinidad and Tobago	57.91
4	5	Tine Bossuyt	Belgium	58.02
2	1	Lára Hrund Bjargardóttir	Iceland	58.44
3	2	Lara Heinz	Luxembourg	58.55
2	7	Caroline Pickering	Fiji	58.62
3	8	Pilin Tachakittiranan	Thailand	58.69
4	7	Chang Hee-Jin	South Korea	58.77
3	1	Jūratė Ladavičiūtė	Lithuania	58.78
3	3	Chantal Gibney	Ireland	58.79
2	8	Yekaterina Tochenaya	Kyrgyzstan	58.80
2	3	Anna Stylianou	Cyprus	59.08
2	5	Agnese Ozoliņa	Latvia	59.28
3	7	Tsai Shu-Min	Chinese Taipei	59.39
1	8	Nicole Hayes	Palau	1:00.89
1	5	Rola El Haress	Lebanon	1:03.26
1	2	Maria Awori	Kenya	1:06.23
1	3	Nathalie Lee Baw	Mauritius	1:06.67
1	7	Zeïna Sahelí	Senegal	1:07.37
1	4	Supra Singhal	Uganda	1:08.15
1	6	Sanjaajamtsyn Altantuyaa	Mongolia	1:10.22
1	1	Katerina Izmaylova	Tajikistan	1:19.12
5	4	Antje Buschschulte	Germany	DNS
7	1	Marianne Limpert	Canada	DNS
