Season	Series	Team	Races	Wins	Poles	Podiums
2006	Star of Silverstone	Silverstone Motorsport Academy	2	1	0	2
2006	Formula Renault 2.0 UK Winter Series	AKA Lemac	4	0	0	0
2007	Eurocup Formula Renault 2.0	SG Drivers Project	14	5	4	6
2007	French Formula Renault 2.0	SG Formula	10	2	1	3
2007	Formula Renault 2.0 UK Winter Series	Hitech Junior Team	4	0	0	0
2008	Formula 3 Euro Series	ART Grand Prix	19	1	0	2
2008	Masters of Formula 3	ART Grand Prix	1	0	0	1
2008	Macau Grand Prix	Manor Motorsport	1	0	0	0
2009	Formula Renault 3.5 Series	Comtec Racing	12	1	1	2
2010	Formula Renault 3.5 Series	Fortec Motorsport	17	0	1	1
2011	FIA Formula Two Championship	MotorSport Vision	2	0	0	0
2011	Auto GP	Super Nova Racing	4	1	0	1
2012	GP2 Series	Ocean Racing Technology	2	0	0	0
2013	GP2 Series	Hilmer Motorsport	6	1	0	2
