Rider	Manufacturer	Laps	Time	Grid
Casey Stoner	Ducati	30	47:30.057	1
Valentino Rossi	Yamaha	30	+3.708	7
Chris Vermeulen	Suzuki	30	+14.002	14
Alex de Angelis	Honda	30	+14.124	10
Andrea Dovizioso	Honda	30	+42.022	4
Sylvain Guintoli	Ducati	30	+46.648	15
Loris Capirossi	Suzuki	30	+1:04.483	13
Randy de Puniet	Honda	30	+1:04.588	6
Shinya Nakano	Honda	30	+1:16.773	9
Anthony West	Kawasaki	30	+1:29.275	17
James Toseland	Yamaha	29	+1 Lap	11
Toni Elias	Ducati	29	+1 Lap	12
Nicky Hayden	Honda	28	+2 Laps	8
Colin Edwards	Yamaha	20	Accident	3
Marco Melandri	Ducati	9	Accident	16
Dani Pedrosa	Honda	5	Accident	2
Jorge Lorenzo	Yamaha	2	Accident	5
