Outcome	Date	Tournament	Surface	Opponent in the final	Score
Runner–up	November 3, 1991	Scottsdale , United States	Hard	Sabine Appelmans	5–7, 1–6
Runner–up	February 13, 1994	Chicago , United States	Hard	Natasha Zvereva	3–6, 5–7
Runner–up	June 25, 1995	Eastbourne , United Kingdom	Hard	Nathalie Tauziat	6–3, 0–6, 5–7
Runner–up	August 13, 1995	Manhattan Beach , United States	Hard	Conchita Martínez	6–4, 1–6, 3–6
Runner–up	March 30, 1996	Key Biscayne , United States	Hard	Steffi Graf	1–6, 3–6
Winner	February 9, 1997	Linz , Austria	Hard (i)	Karina Habšudová	6–4, 6–2
Runner–up	November 1, 1998	Quebec City , Canada	Hard (i)	Tara Snyder	6–4, 4–6, 6(6)–7
Winner	January 17, 1999	Hobart , Australia	Hard	Rita Grande	6–2, 6–3
Runner–up	November 7, 1999	Quebec City, Canada	Hard (i)	Jennifer Capriati	6–4, 1–6, 2–6
Runner–up	January 15, 2000	Hobart, Australia	Hard	Kim Clijsters	6–2, 2–6, 2–6
Winner	November 5, 2000	Quebec City, Canada	Hard (i)	Jennifer Capriati	6–4, 6–2
Runner–up	May 25, 2002	Madrid , Spain	Clay	Monica Seles	4–6, 2–6
Winner	June 22, 2002	Eastbourne, United Kingdom	Grass	Anastasia Myskina	6–1, 6–3
Winner	August 11, 2002	Los Angeles, United States	Hard	Lindsay Davenport	5–7, 7–6, 6–3
Winner	May 24, 2003	Madrid, Spain	Clay	María Sánchez Lorenzo	6–4, 5–7, 6–4
Winner	June 21, 2003	Eastbourne, United Kingdom	Grass	Conchita Martínez	6–4, 3–6, 6–4
Runner–up	September 14, 2003	Bali , Indonesia	Hard	Elena Dementieva	2–6, 1–6
Runner–up	September 21, 2003	Shangai , China	Hard	Elena Dementieva	3–6, 6(6)–7
Runner–up	October 26, 2003	Luxembourg , Luxembourg	Hard (i)	Kim Clijsters	2–6, 5–7
