Week	Date	Opponent	Location	Final Score	Attendance	Record
1	June 27	Blue Bombers	SkyDome	W 38 – 23	16551	1–0
2	July 6	@ Tiger-Cats	Ivor Wynne Stadium	W 20 – 15	14033	2–0
3	July 12	@ Roughriders	Taylor Field	L 27 – 23	22956	2–1
4	July 17	Tiger-Cats	SkyDome	W 27 – 20	17222	3–1
5	July 24	@ Lions	BC Place Stadium	W 34 – 20	23330	4–1
6	July 31	Alouettes	SkyDome	W 46 – 8	16213	5–1
7	August 7	@ Stampeders	McMahon Stadium	L 45 – 35	25311	5–2
8	August 14	Eskimos	SkyDome	W 38 – 14	18031	6–2
9	August 21	Roughriders	SkyDome	W 27 – 1	17330	7–2
10	September 1	@ Tiger-Cats	Ivor Wynne Stadium	W 46 – 3	18377	8–2
11	September 7	@ Blue Bombers	Canad Inns Stadium	W 66 – 25	21080	9–2
12	September 14	Tiger-Cats	SkyDome	W 34 – 9	20234	10–2
13	September 20	@ Eskimos	Commonwealth Stadium	W 25 – 24	38619	11–2
14	September 28	@ Blue Bombers	Canad Inns Stadium	W 41 – 9	20004	12–2
15	October 4	Lions	SkyDome	W 46 – 3	17019	13–2
16	October 11	Alouettes	SkyDome	W 28 – 21	17355	14–2
17	October 18	Stampeders	SkyDome	W 48 – 17	24083	15–2
