Round	Country	Circuit	Date	Pole Position	Fastest Lap	Winning Rider	Winning Team	Report
1	Australia	Phillip Island Grand Prix Circuit	27 February	David Salom	Fabien Foret	Luca Scassa	Yamaha ParkinGO Team	Report
2	United Kingdom	Donington Park	27 March	Luca Scassa	Sam Lowes	Luca Scassa	Yamaha ParkinGO Team	Report
3	Netherlands	TT Circuit Assen	17 April	Luca Scassa	Luca Scassa	Chaz Davies	Yamaha ParkinGO Team	Report
4	Italy	Autodromo Nazionale Monza	8 May	Chaz Davies	Chaz Davies	Chaz Davies	Yamaha ParkinGO Team	Report
5	San Marino	Misano World Circuit	12 June	Sam Lowes	Fabien Foret	Broc Parkes	Kawasaki Motocard.com	Report
6	Spain	Motorland Aragon	19 June	Broc Parkes	Sam Lowes	Chaz Davies	Yamaha ParkinGO Team	Report
7	Czech Republic	Masaryk Circuit	10 July	Fabien Foret	Gino Rea	Gino Rea	Step Racing Team	Report
8	United Kingdom	Silverstone Circuit	31 July	David Salom	Robbin Harms	Chaz Davies	Yamaha ParkinGO Team	Report
9	Germany	Nürburgring	4 September	Fabien Foret	James Ellison	Chaz Davies	Yamaha ParkinGO Team	Report
10	Italy	Autodromo Enzo e Dino Ferrari	25 September	Broc Parkes	Fabien Foret	Fabien Foret	Hannspree Ten Kate Honda	Report
11	France	Circuit de Nevers Magny-Cours	2 October	Broc Parkes	Massimo Roccoli	Luca Scassa	Yamaha ParkinGO Team	Report
