Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:24:26.985	1
Ralf Schumacher	Williams - BMW	53	+14.098	2
Jenson Button	BAR - Honda	53	+19.662	5
Takuma Sato	BAR - Honda	53	+31.781	4
Fernando Alonso	Renault	53	+37.767	11
Kimi Räikkönen	McLaren - Mercedes	53	+39.362	12
Juan Pablo Montoya	Williams - BMW	53	+55.347	13
Giancarlo Fisichella	Sauber - Petronas	53	+56.276	7
Felipe Massa	Sauber - Petronas	53	+1:29.656	19
Jacques Villeneuve	Renault	52	+1 Lap	9
Jarno Trulli	Toyota	52	+1 Lap	6
Christian Klien	Jaguar - Cosworth	52	+1 Lap	14
Nick Heidfeld	Jordan - Ford	52	+1 Lap	16
Olivier Panis	Toyota	51	+2 Lap	10
Timo Glock	Jordan - Ford	51	+2 Lap	17
Gianmaria Bruni	Minardi - Cosworth	50	+3 Lap	18
Zsolt Baumgartner	Minardi - Cosworth	41	Spin	20
David Coulthard	McLaren - Mercedes	38	Collision	8
Rubens Barrichello	Ferrari	38	Collision	15
Mark Webber	Jaguar - Cosworth	20	Overheating	3
