Week	Date	Opponent	Result	Attendance
1	September 3, 2000	Seattle Seahawks	W 23–0	72,949
2	September 10, 2000	at Minnesota Vikings	L 13–7	64,112
3	September 17, 2000	Baltimore Ravens	W 19–6	73,464
4	September 24, 2000	New England Patriots	W 10–3	73,344
5	October 1, 2000	at Cincinnati Bengals	W 31–16	61,535
6	October 8, 2000	Buffalo Bills	W 22–13	73,901
7	Bye	Bye	Bye	Bye
8	October 23, 2000	at New York Jets	L 40–37	78,389
9	October 29, 2000	Green Bay Packers	W 28–20	73,740
10	November 5, 2000	at Detroit Lions	W 23–8	77,813
11	November 12, 2000	at San Diego Chargers	W 17–7	56,896
12	November 19, 2000	New York Jets	L 20–3	74,320
13	November 26, 2000	at Indianapolis Colts	W 17–14	56,935
14	December 3, 2000	at Buffalo Bills	W 33–6	73,002
15	December 10, 2000	Tampa Bay Buccaneers	L 16–13	74,307
16	December 17, 2000	Indianapolis Colts	L 20–13	73,884
17	December 24, 2000	at New England Patriots	W 27–24	60,292
