Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
72	April 1	@ Atlanta	L 91–105 (OT)	Doug Christie , Gary Trent (14)	Marcus Camby , Tracy McGrady (9)	Doug Christie (3)	Georgia Dome 10,441	15-57
73	April 3	@ Washington	L 112–120 (OT)	Dee Brown (30)	Gary Trent (10)	Dee Brown (6)	MCI Center 18,324	15-58
74	April 5	@ Philadelphia	L 104–116 (OT)	Gary Trent (25)	Tracy McGrady (13)	Dee Brown (6)	CoreStates Center 15,808	15-59
75	April 7	@ Milwaukee	L 105–114 (OT)	Doug Christie (20)	Reggie Slater (8)	Doug Christie (5)	Bradley Center 13,288	15-60
76	April 8	Milwaukee	L 100–107 (OT)	Gary Trent (24)	Chauncey Billups , Tracy McGrady (9)	Doug Christie (8)	SkyDome 14,168	15-61
77	April 10	Miami	L 105–111 (OT)	Doug Christie (26)	Tracy McGrady (15)	Doug Christie (7)	SkyDome 16,111	15-62
78	April 12	New Jersey	L 109–116 (OT)	Dee Brown (30)	Marcus Camby (11)	Tracy McGrady (6)	SkyDome 14,088	15-63
79	April 14	@ New Jersey	W 96–92 (OT)	Doug Christie (23)	Marcus Camby (12)	Chauncey Billups , Doug Christie (4)	Continental Airlines Arena 17,521	16-63
80	April 16	@ New York	L 79–108 (OT)	Doug Christie (14)	Doug Christie , Tracy McGrady (7)	Dee Brown (4)	Madison Square Garden 19,763	16-64
81	April 17	@ Indiana	L 98–107 (OT)	Doug Christie (24)	Gary Trent (12)	Chauncey Billups (5)	Market Square Arena 16,059	16-65
82	April 19	Philadelphia	L 78–107 (OT)	Doug Christie (16)	Marcus Camby (11)	Doug Christie (4)	Maple Leaf Gardens 14,578	16-66
