Club name	Name of team song	Basis for team song	First used as team song	Writer/composer
Adelaide	"The Pride of South Australia"	" US Marines' Hymn "	1992	Bill Sanders
Brisbane Lions	"The Pride of Brisbane Town"	" La Marseillaise "	1955	Fitzroy players
Carlton	"We are the Navy Blues"	" Lily of Laguna "	c. 1930	Carlton players
Collingwood	"Good Old Collingwood Forever"	" Goodbye, Dolly Gray "	1906	Tom Nelson
Essendon	"See the Bombers Fly Up"	"(Keep Your) Sunny Side Up"	1960s	unknown
Fremantle	"Freo Way To Go"	Original	1995	Ken Walther
Geelong	"We Are Geelong"	" The Toreador Song "	1963	John K. Watts
Gold Coast	"We Are the Suns of the Gold Coast Sky"	Original	2010	Rosco Elliott
Greater Western Sydney	"There's A Big Big Sound"	Original	2012	Harry Angus
Hawthorn	"The Mighty Fighting Hawks"	" The Yankee Doodle Boy "	c. 1956	Chick Lander
Melbourne	"It's a Grand Old Flag"	" You're a Grand Old Flag "	c. 1912	unknown (second verse by Keith "Bluey" Truscott )
North Melbourne	"Join in the Chorus"	"Wee Deoch an Doris"	1920s	unknown
Port Adelaide	"Power to Win"	Original	1997	Quentin Eyers and Les Kaczmarek
Richmond	"We're from Tiger Land"	"Row, Row, Row"	1962	Jack Malcolmson
St Kilda	"When the Saints Go Marching In"	" When the Saints Go Marching In "	c. 1965	unknown
Sydney	"The Red and the White"	" Notre Dame Victory March	1950s	Larry Spokes
West Coast	"We're Flying High"	Original	1987	Kevin Peek and Ken Walther
