Scorer	Club	League goals	FA Cup goals	League Cup goals	Total
Malcolm Macdonald	Luton Town	24	4	2	30
John Hickton	Middlesbrough	25	0	2	27
Bob Hatton	Carlisle United	18	2	4	24
Chris Chilton	Hull	21	2	0	23
Rodney Marsh	Queens Park Rangers	21	1	1	23
Phil Summerill	Birmingham City	16	1	4	21
Don Rogers	Swindon Town	16	0	4	20
Alan Warboys	Cardiff City / Sheffield Wednesday	13 + 6	0	0	19
Barry Bridges	Millwall / Queens Park Rangers	15 + 2	0	0 + 1	18
Alistair Brown	Leicester City	15	2	0	17
Ken Foggo	Norwich City	15	1	1	17
Derek Possee	Millwall	14	1	2	17
Peter Silverster	Norwich City	15	0	1	16
David Watson	Sunderland / Rotherham	4 + 9	0 + 3	0	16
Ron Wigg	Watford	13	2	1	16
Ken Wagstaff	Hull City	12	4	0	16
Alan Woodward	Sheffield United	15	0	0	15
Mick Prendergast	Sheffield Wednesday	15	0	0	15
Trevor Francis	Birmingham City	15	0	0	15
Brian Clark	Cardiff City	15	0	0	15
Peter Noble	Swindon Town	14	1	0	15
Hughie McIlmoyle	Middlesbrough	13	1	1	15
Bill Dearden	Sheffield United	14	0	0	14
Ray Hiron	Portsmouth	13	1	0	14
Arthur Horsfield	Swindon Town	11	1	2	14
Bob Latchford	Birmingham City	13	0	0	13
Bobby Owen	Carlisle United	11	2	0	13
Derrick Downing	Middlesbrough	11	1	1	13
Don Givens	Luton Town	11	0	2	13
Malcolm Partridge	Leicester City / Mansfield	3 + 3	3	4	13
John Galley	Bristol City	12	0	0	12
Dennis Martin	Carlisle United	10	1	1	12
Terry Venables	Queens Park Rangers	10	0	1	11
John Farrington	Leicester City	8	0	3	11
Chris Garland	Bristol City	8	0	3	11
Joe Baker	Sunderland	10	0	0	10
Harry Cripps	Millwall	10	0	0	10
Tony Currie	Sheffield United	9	0	1	10
Bobby Kerr	Sunderland	9	0	1	10
Mike Trebilcock	Portsmouth	8	2	0	10
