Engine	Cyl.	Power	Torque	Engine code	0–100km/h (sec.)
2.0 16V	I4	PS (kW; hp)	N·m (lb·ft)	M111.942	9.4 - 10.4
2.0 16V	I4	PS (kW; hp)	N·m (lb·ft)	M111.943	10 - 11
2.0 16V K	I4	PS (kW; hp)	N·m (lb·ft)	M111.957	9.7 - 10.2
2.3 16V	I4	PS (kW; hp)	N·m (lb·ft)	M111.970	10.4 - 10.9
2.3 16V K	I4	PS (kW; hp)	N·m (lb·ft)	M111.974	7.1 - 8.0
2.4 18V	V6	PS (kW; hp)	N·m (lb·ft)	M112.911	9.6 - 10.2
2.8 24V	I6	PS (kW; hp)	N·m (lb·ft)	M104.942	8.6 - 8.9
2.8 18V	V6	PS (kW; hp)	N·m (lb·ft)	M112.921	8.9 - 9.1
3.2 24V	I6	PS (kW; hp)	N·m (lb·ft)	M104.995	7.8
3.2 18V	V6	PS (kW; hp)	N·m (lb·ft)	M112.941	7.7
4.2 32V	V8	PS (kW; hp)	N·m (lb·ft)	M119.985	6.4 - 6.6
4.3 24V	V8	PS (kW; hp)	N·m (lb·ft)	M113.940	6.2
3.6 24V AMG	I6	PS (kW; hp)	N·m (lb·ft)	M104.xxx	6.0
5.0 32V AMG	V8	PS (kW; hp)	N·m (lb·ft)	M119.985	5.7
5.4 24V AMG	V8	PS (kW; hp)	N·m (lb·ft)	M113.980	5.4
6.0 32V AMG	V8	PS (kW; hp)	N·m (lb·ft)	M119.985	4.9
6.2 32V AMG	V8	PS (kW; hp)	N·m (lb·ft)	M119.985	4.7
2.0 16V D	I4	PS (kW; hp)	N·m (lb·ft)	OM604 .917	13.2
2.2 16V D	I4	PS (kW; hp)	N·m (lb·ft)	OM604.912	13.0
2.2 16V CDI	I4	PS (kW; hp)	N·m (lb·ft)	OM611	12.7
2.2 16V CDI	I4	PS (kW; hp)	N·m (lb·ft)	OM611	12.5
2.2 16V CDI	I4	PS (kW; hp)	N·m (lb·ft)	OM611	10.8
2.2 16V CDI	I4	PS (kW; hp)	N·m (lb·ft)	OM611	10.5
2.2 16V CDI	I4	PS (kW; hp)	N·m (lb·ft)	OM611	10.4 - 9.9
2.5 20V D	I5	PS (kW; hp)	N·m (lb·ft)	OM605 .912	10.9
2.5 20V TD	I5	PS (kW; hp)	N·m (lb·ft)	OM605.962	9.5
2.7 20V CDI	I5	PS (kW; hp)	N·m (lb·ft)	OM612	9.0 - 7.7
2.7 20V CDI	I5	PS (kW; hp)	N·m (lb·ft)	OM612	9.0 - 8.0
2.9 10V TD	I5	PS (kW; hp)	N·m (lb·ft)	OM602 .982	10.0
3.0 24V D	I6	PS (kW; hp)	N·m (lb·ft)	OM606 .912	10.0
3.0 24V TD	I6	PS (kW; hp)	N·m (lb·ft)	OM606.962	8.4 - 7.6
3.2 24V CDI	I6	PS (kW; hp)	N·m (lb·ft)	OM613	8.3 - 6.9
