Pick	Player	Position	Nationality	NHL team
53	Corey Neilson	Defence	Canada	Edmonton Oilers
54	Chris Murray	Right Wing	Canada	Montreal Canadiens
55	Vadim Epanchintsev	Centre	Russia	Tampa Bay Lightning
56	Dorain Anneck	Right Wing	Canada	Winnipeg Jets
57	Sven Butenschon	Defence	Germany	Pittsburgh Penguins
58	Tavis Hansen	Left Wing	Canada	Winnipeg Jets
59	Vitali Yachmenev	Left Wing	Russia	Los Angeles Kings
60	Brad Symes	Defence	Canada	Edmonton Oilers
61	Sebastien Bety	Defence	Canada	Quebec Nordiques
62	Artem Anisimov	Defence	Russia	Philadelphia Flyers
63	Jason Strudwick	Left Wing	Canada	New York Islanders
64	Fredrik Modin	Left Wing	Sweden	Toronto Maple Leafs
65	Chad Allen	Defence	Canada	Vancouver Canucks
66	Alexei Yegorov	Right Wing	Russia	San Jose Sharks
67	Craig Reichert	Right Wing	Canada	Mighty Ducks of Anaheim
68	Stephane Roy	Centre	Canada	St. Louis Blues
69	Rumun Ndur	Defence	Canada	Buffalo Sabres
70	Marko Kiprusoff	Defence	Finland	Montreal Canadiens
71	Sheldon Souray	Defence	Canada	New Jersey Devils
72	Chris Drury	Centre	United States	Quebec Nordiques
73	Greg Crozier	Left Wing	Canada	Pittsburgh Penguins
74	Martin Belanger	Defence	Canada	Montreal Canadiens
75	Sean Gillam	Defence	Canada	Detroit Red Wings
76	Alexei Krivchenkov	Defence	Russia	Pittsburgh Penguins
77	Chris Clark	Left Wing	United States	Calgary Flames
78	Adam Smith	Defence	Canada	New York Rangers
Reference:	Reference:	Reference:	Reference:	Reference:
