Tournament	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	1R	A	Q1	Q1
French Open	A	A	2R	1R	A	Q1
Wimbledon	A	A	Q1	1R	A	Q1
US Open	A	2R	Q3	Q1	A	A
Win–Loss	0–0	1–1	1–2	0–2	0–0	0–0
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	1R
Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory	Premier Mandatory
Miami Masters	A	A	1R	Q2	A	A
Madrid Masters	Not Held	Not Held	1R	Q2	Q1	Q2
Win–Loss	0–0	0–0	0–2	0–0	0–0	0–0
Premier 5	Premier 5	Premier 5	Premier 5	Premier 5	Premier 5	Premier 5
Italian Open	A	A	1R	A	A	A
Cincinnati Masters	A	A	A	Q1	A	A
Win–Loss	0–0	0–0	0–1	0–0	0–0	0–0
Year End Ranking	201	110	191	128	190	140
