Clinical Status	Compound Name	Trademark	Marine Organism α	Chemical Class	Molecular Target	Clinical Trials β	Disease Area
FDA-Approved	Cytarabine (Ara-C)	Cytosar-U ®	Sponge	Nucleoside	DNA Polymerase	>50/711	Cancer
FDA-Approved	Vidarabine (Ara-A)	Vira-A ®	Sponge	Nucleoside	Viral DNA Polymerase	0	Antiviral
FDA-Approved	Ziconotide	Prialt ®	Cone Snail	Peptide	N-Type Ca 2+ Channel	2/5	Analgesic
FDA-Approved	Eribulin Mesylate (E7389)	Halaven ®	Sponge	Macrolide	s Microtubule	19/27	Cancer
FDA-Approved	Omega-3-Fatty Acid Ethyl Esters	Lovaza ®	Fish	Omega-3 Fatty Acids	Triglyceride -Synthesizing Enzymes	45/94	Hypertriglyceridemia
FDA-Approved	Trabectedin (ET-743) EU Approved only	Yondelis ®	Tunicate	Alkaloid	Minor Groove of DNA	17/34	Cancer
Phase III	Brentuximab Vedotin (SGN-35)	Adcetris ®	Mollusk	Antibody-Drug Conjugate (MM Auristatin E)	CD30 and Microtubules	9/19	Cancer
Phase III	Plitidepsin	Aplidin ®	Tunicate	Depsipeptide	Rac1 and JNK Activation	1/7	Cancer
Phase II	DMXBA (GTS-21)	N/A	Worm	Alkaloid	Alpha-7 Nicotinic Acetylcholine Receptor	0/3	Congnition , Schizophrenia
Phase II	Plinabulin (NPI 2358)	N/A	Fungus	Diketopiperazine	Microtubules and JNK Stress Protein	1/2	Cancer
Phase II	Elisidepsin	Irvalec ®	Mollusk	Depsipeptide	Plasma Membrane Fluidity	1/2	Cancer
Phase II	PM00104	Zalypsis ®	Nudibranch	Alkaloid	DNA-Binding	2/3	Cancer
Phase II	Glembatumumab Vedotin (CDX-011)	N/A	Mollusk	Antibody Drug Conjugate (MM Auristatin E)	Glycoprotein NMB and Microtubules	1/3	Cancer
Phase I	Marizomib (Salinosporamide A)	N/A	Bacterium	Beta-Lactone-Gamma Lactam	20S Proteasome	4/4	Cancer
Phase I	PM01183	N/A	Tunicate	Alkaloid	Minor Groove of DNA	N/A	Cancer
Phase I	SGN-75	N/A	Mollusk	Antibody Drug Conjugate (MM Auristatin F)	CD70 and Microtubules	2/2	Cancer
Phase I	ASG-5ME	N/A	Mollusk	Antibody Drug Conjugate (MM auristatin E)	ASG-5 and Microtubules	2/2	Cancer
Phase I	Hemiasterlin (E7974)	N/A	Sponge	Tripeptide	Microtubules	0/3	Cancer
Phase I	Bryostatin 1	N/A	Bryozoa	Polyketide	Protein Kinase C	0/38	Cancer, Alzheimers
