Season	Competition	Round	Club	1st leg
1957–58	European Cup	Preliminary Round	Manchester United	0–6
1959–60	European Cup	Preliminary Round	OGC Nice	2–3
1962–63	UEFA Cup Winners' Cup	Second round	PFC Botev Plovdiv	0–4
1963–64	Inter-Cities Fairs Cup	First round	Valencia	0–1
1964–65	European Cup	Preliminary Round	SK Rapid Wien	0–3
1965–66	Inter-Cities Fairs Cup	Second round	Real Zaragoza	1–1
1966–67	UEFA Cup Winners' Cup	First round	CA Spora Luxembourg	4–1
1966–67	UEFA Cup Winners' Cup	Second round	FC Bayern Munich	1–1
1967–68	UEFA Cup Winners' Cup	First round	Cardiff City F.C.	1–1
1968–69	UEFA Cup Winners' Cup	First round	Randers FC	0–1
1969–70	UEFA Cup Winners' Cup	First round	FC Schalke 04	2–1
1978–79	UEFA Cup Winners' Cup	First round	APOEL F.C.	2–0
1978–79	UEFA Cup Winners' Cup	Second round	FC Baník Ostrava	1–3
1984–85	European Cup	First Round	Linfield F.C.	0–0
1985–86	European Cup	First Round	Budapest Honvéd FC	0–2
1986–87	European Cup	First Round	Celtic	0–1
1987–88	European Cup	First Round	AC Omonia	0–1
1994–95	UEFA Cup	Preliminary round	Górnik Zabrze	0–7
1998	UEFA Intertoto Cup	First round	Altay S.K.	1–3
2002–03	UEFA Cup	Preliminary round	Djurgårdens IF Fotboll	1–3
2003	UEFA Intertoto Cup	First round	Odra Wodzisław	2–1
2003	UEFA Intertoto Cup	Second round	FC Slovan Liberec	0–2
2010–11 UEFA Europa League	UEFA Europa League	Second qualifying round	Bnei Yehuda Tel Aviv F.C.	1–1
2010–11 UEFA Europa League	UEFA Europa League	Third qualifying round	Juventus F.C.	0–1
2011–12	UEFA Champions League	Second qualifying round	FC Flora Tallinn	1–0
2011–12	UEFA Champions League	Third qualifying round	F.C. Copenhagen	0–1
2011–12 UEFA Europa League	UEFA Europa League	Playoff round	FK Partizan	1–1
2011–12 UEFA Europa League	UEFA Europa League	Group stages	FC Rubin Kazan	0–3
2011–12 UEFA Europa League	UEFA Europa League	Group stages	Tottenham Hotspur F.C.	1–3
2011–12 UEFA Europa League	UEFA Europa League	Group stages	P.A.O.K. F.C.	1–2
2011–12 UEFA Europa League	UEFA Europa League	Group stages	P.A.O.K. F.C.	1–3
2011–12 UEFA Europa League	UEFA Europa League	Group stages	FC Rubin Kazan	1–4
2011–12 UEFA Europa League	UEFA Europa League	Group stages	Tottenham Hotspur F.C.	0–4
2011–12	UEFA Champions League	Second qualifying round	FK Ekranas	0–0
