Place	Player	Country	Score	To par
1	Greg Norman	Australia	74-63=137	–3
2	Gordon J. Brand	England	71-68=139	–1
T3	Nick Faldo	England	71-70=141	+1
T3	Tsuneyuki Nakajima	Japan	74-67=141	+1
5	Bernhard Langer	West Germany	72-70=140	+2
T6	José María Cañizares	Spain	76-68=144	+4
T6	Anders Forsbrand	Sweden	71-73=144	+4
T6	Greg Turner	New Zealand	73-71=144	+4
T6	Ian Woosnam	Wales	70-74=144	+4
T10	Andrew Brooks	Scotland	72-73=145	+5
T10	Roger Chapman	England	74-71=145	+5
T10	Raymond Floyd	United States	78-67=145	+5
T10	Donnie Hammond	United States	74-71=145	+5
T10	Gary Koch	United States	73-72=145	+5
T10	Payne Stewart	United States	76-69=145	+5
T10	Bob Tway	United States	74-71=145	+5
T10	D. A. Weibring	United States	75-70=145	+5
