Nat.	Name	Moving from	Type	Transfer window	Ends	Transfer fee	Source
POR	Morais	Chelsea	Transfer	Summer	2009	Free	reuters.com
MKD	Nikolovski	Slaven Belupo	Transfer	Summer	2009	Free	—
BRA	Emerson	AEK Athens	Transfer	Summer	2008	Free	uefacup.com
BRA	Tavares	Porto Alegre	Transfer	Summer	2010	Free	—
BRA	Evilasio	Porto Alegre	Transfer	Summer	2008	Free	—
BRA	Zé Carlos	Braga	Transfer	Summer	2009	Free	uefa.com
BRA	Rubens	Villa Rio	Loan	Summer	2008	Free	—
SER	Corović	AEL Limassol	Loan	Summer	2008	Free	—
ALB	Haxhi	Ergotelis	Transfer	Winter	2009	Free	—
NED	Broerse	Utrecht	Transfer	Winter	2009	Free	nu.nl
SER	Mirosavljević	Smederevo	Transfer	Winter	2009	Free	—
CYP	Charalambides	Carl Zeiss Jena	Transfer	Winter	2010	Free	—
