Rank	Country/Territory	Manhunt International	1st runner-up	2nd runner-up	3rd runner-up	4th runner-up	Semifinalists	Total
1	China	2	1	1	1	0	5	10
2	India	1	2	0	0	3	5	11
3	Sweden	1	2	0	0	0	3	6
4	Venezuela	1	1	1	1	1	6	11
5	Turkey	1	1	1	1	0	3	7
6	Australia	1	1	0	1	0	4	7
7	Germany	1	1	0	0	0	1	3
8	USA	1	0	3	1	0	3	8
9	Philippines	1	0	1	1	0	3	6
10	Greece	1	0	1	0	0	3	5
11	South Africa	1	0	0	0	1	3	5
12	Slovakia	1	0	0	0	1	0	2
13	France	1	0	0	0	0	2	3
14	Morocco	1	0	0	0	0	0	1
14	New Zealand	1	0	0	0	0	0	1
16	Belgium	0	2	1	0	0	2	5
17	Latvia	0	1	0	0	1	1	3
18	Canada	0	1	0	0	0	2	3
18	Mexico	0	1	0	0	0	2	3
20	Dominican Republic	0	1	0	0	0	1	2
21	Gibraltar	0	1	0	0	0	0	1
22	Singapore	0	0	1	2	1	3	7
23	Curacao	0	0	1	0	1	0	2
24	Brazil	0	0	1	0	0	3	4
24	Costa Rica	0	0	1	0	0	3	4
26	Denmark	0	0	1	0	0	2	3
27	Switzerland	0	0	1	0	0	1	2
28	Puerto Rico	0	0	0	3	1	1	5
29	South Korea	0	0	0	1	0	3	4
30	Jamaica	0	0	0	1	0	2	3
31	Croatia	0	0	0	1	0	1	2
31	Vietnam	0	0	0	1	0	1	2
33	Cuba	0	0	0	1	0	0	1
34	Kazakhstan	0	0	0	0	1	1	2
34	Taiwan	0	0	0	0	1	1	2
36	Angola	0	0	0	0	1	0	1
36	Cayman Islands	0	0	0	0	1	0	1
36	New Caledonia	0	0	0	0	1	0	1
36	Spain	0	0	0	0	1	0	1
40	Panama	0	0	0	0	0	6	6
41	Bulgaria	0	0	0	0	0	4	4
42	Indonesia	0	0	0	0	0	3	3
42	Lebanon	0	0	0	0	0	3	3
44	Finland	0	0	0	0	0	2	2
44	Hong Kong	0	0	0	0	0	2	2
44	Netherlands	0	0	0	0	0	2	2
44	Peru	0	0	0	0	0	2	2
44	England	0	0	0	0	0	2	2
44	Thailand	0	0	0	0	0	2	2
50	Bahamas	0	0	0	0	0	1	1
50	Bolivia	0	0	0	0	0	1	1
50	Bosnia & Herzegovina	0	0	0	0	0	1	1
50	Cyprus	0	0	0	0	0	1	1
50	El Salvador	0	0	0	0	0	1	1
50	Estonia	0	0	0	0	0	1	1
50	Iceland	0	0	0	0	0	1	1
50	Ireland	0	0	0	0	0	1	1
50	Italy	0	0	0	0	0	1	1
50	Luxembourg	0	0	0	0	0	1	1
50	Hawaii	0	0	0	0	0	1	1
50	Malaysia	0	0	0	0	0	1	1
50	Nicaragua	0	0	0	0	0	1	1
50	Norway	0	0	0	0	0	1	1
50	Portugal	0	0	0	0	0	1	1
