Species	Order	Family	Species worldwide	Species on Réunion
Albatrosses	Procellariiformes	Diomedeidae	21	6
Shearwaters and Petrels	Procellariiformes	Procellariidae	75	11
Storm-Petrels	Procellariiformes	Hydrobatidae	21	2
Tropicbirds	Pelecaniformes	Phaethontidae	3	1
Boobies and Gannets	Pelecaniformes	Sulidae	9	2
Frigatebirds	Pelecaniformes	Fregatidae	5	2
Bitterns, Herons and Egrets	Ciconiiformes	Ardeidae	61	2
Ibises and Spoonbills	Ciconiiformes	Threskiornithidae	36	1
Flamingos	Phoenicopteriformes	Phoenicopteridae	6	2
Ducks, Geese and Swans	Anseriformes	Anatidae	131	3
Hawks, Kites and Eagles	Falconiformes	Accipitridae	233	2
Caracaras and Falcons	Falconiformes	Falconidae	62	2
Pheasants and Partridges	Galliformes	Phasianidae	156	7
Buttonquails	Gruiformes	Turnicidae	16	1
Rails, Crakes, Gallinules, and Coots	Gruiformes	Rallidae	143	1
Crab Plover	Charadriiformes	Dromadidae	1	1
Pratincoles and Coursers	Charadriiformes	Glareolidae	17	2
Plovers and Lapwings	Charadriiformes	Charadriidae	66	3
Sandpipers and allies	Charadriiformes	Scolopacidae	89	9
Terns	Charadriiformes	Sternidae	44	9
Pigeons and Doves	Columbiformes	Columbidae	308	2
Parrots, Macaws and allies	Psittaciformes	Psittacidae	335	1
Swifts	Apodiformes	Apodidae	98	1
Typical Rollers	Coraciiformes	Coraciidae	12	1
Swallows and Martins	Passeriformes	Hirundinidae	75	1
Cuckoo-shrikes	Passeriformes	Campephagidae	82	1
Bulbuls	Passeriformes	Pycnonotidae	130	2
Old World flycatchers	Passeriformes	Muscicapidae	274	1
Monarch flycatchers	Passeriformes	Monarchidae	99	1
White-eyes	Passeriformes	Zosteropidae	96	2
Starlings	Passeriformes	Sturnidae	125	1
Weavers and allies	Passeriformes	Ploceidae	116	2
Waxbills and allies	Passeriformes	Estrildidae	141	3
Siskins, Crossbills and allies	Passeriformes	Fringillidae	137	2
Sparrows	Passeriformes	Passeridae	35	1
