District	Incumbent	Party	First elected	Result	Candidates
California 1	Hubert B. Scudder	Republican	1948	Re-elected	Hubert B. Scudder (R) 59.1% Max Kortum (D) 40.9%
California 2	Clair Engle	Democratic	1943	Re-elected	Clair Engle (D) Unopposed
California 3	John E. Moss	Democratic	1952	Re-elected	John E. Moss (D) 65.3% James H. Phillips (R) 34.7%
California 5	John Shelley	Democratic	1949	Re-elected	John Shelley (D) Unopposed
California 11	J. Leroy Johnson	Republican	1942	Re-elected	J. Leroy Johnson (R) 52.6% Carl Sugar (D) 47.4%
California 14	Harlan Hagen	Democratic	1952	Re-elected	Harlan Hagen (D) 65.1% Al Blain (R) 34.9%
California 17	Cecil R. King	Democratic	1942	Re-elected	Cecil R. King (D) 60.1% Robert H. Finch (R) 39.9%
California 18	Craig Hosmer	Republican	1952	Re-elected	Craig Hosmer (R) 55.0% Joseph M. Kennick (D) 45.0%
California 28	James B. Utt	Republican	1952	Re-elected	James B. Utt (R) 66.2% Harriet Enderle (D) 33.8%
California 29	John J. Phillips	Republican	1942	Re-elected	John J. Phillips (R) 58.0% Bruce Shangle (D) 42.0%
