Name	Hanzi	Hanyu Pinyin	Population (2004 est.)	Area (km²)	Density (/km²)
City proper	City proper	City proper	City proper	City proper	City proper
Haigang District	海港区	Hǎigǎng Qū	550,000	121	4,545
Suburban	Suburban	Suburban	Suburban	Suburban	Suburban
Shanhaiguan District	山海关区	Shānhǎiguān Qū	140,000	192	729
Beidaihe District	北戴河区	Běidàihé Qū	70,000	70	1,000
Rural	Rural	Rural	Rural	Rural	Rural
Changli County	昌黎县	Chānglí Xiàn	550,000	1,184	465
Funing County	抚宁县	Fǔníng Xiàn	520,000	1,646	316
Lulong County	卢龙县	Lúlóng Xiàn	420,000	945	444
Qinglong Manchu Autonomous County	青龙满族 自治县	Qīnglóng Mǎnzú Zìzhìxiàn	520,000	3,309	157
