Team	Winners	Runners-up	Years won	Years runners-up
Milan	5	2	1989 , 1990 , 1994 , 2003 , 2007	1973 , 1993
Barcelona	4	4	1992 , 1997 , 2009 , 2011	1979 , 1982 , 1989 , 2006
Liverpool	3	2	1977 , 2001 , 2005	1978 , 1984
Ajax	3	1	1972 [A ], 1973 , 1995	1987
Anderlecht	2	0	1976 , 1978	–
Juventus	2	0	1984 , 1996	–
Valencia	2	0	1980 , 2004	–
Atlético Madrid	2	0	2010 , 2012	–
Porto	1	3	1987	2003 , 2004 , 2011
Bayern Munich	1	3	2013	1975 , 1976 , 2001
Manchester United	1	2	1991	1999 , 2008
Chelsea	1	2	1998	2012 , 2013
Real Madrid	1	2	2002	1998 , 2000
Dynamo Kyiv	1	1	1975	1986
Nottingham Forest	1	1	1979	1980
Sevilla	1	1	2006	2007
Aston Villa	1	0	1982	–
Aberdeen	1	0	1983	–
Steaua București	1	0	1986	–
Mechelen	1	0	1988	–
Parma	1	0	1993	–
Lazio	1	0	1999	–
Galatasaray	1	0	2000	–
Zenit St. Petersburg	1	0	2008	–
Hamburg	0	2	–	1977 , 1983
Rangers	0	1	–	1972 [A ]
PSV Eindhoven	0	1	–	1988
Sampdoria	0	1	–	1990
Red Star Belgrade	0	1	–	1991
Werder Bremen	0	1	–	1992
Arsenal	0	1	–	1994
Real Zaragoza	0	1	–	1995
Paris Saint-Germain	0	1	–	1996
Borussia Dortmund	0	1	–	1997
Feyenoord	0	1	–	2002
CSKA Moscow	0	1	–	2005
Shakhtar Donetsk	0	1	–	2009
Internazionale	0	1	–	2010
