Date	Visitor	Score	Home	Leading scorer	Attendance	Record
11/2	Golden State Warriors	114–120	Los Angeles Clippers	Kelenna Azubuike	19,060	0–2
11/3	Golden State Warriors	110–113	Utah Jazz	Al Harrington	19,911	0–3
11/6	Cleveland Cavaliers	104–108	Golden State Warriors	Baron Davis	19,596	0–4
11/8	Dallas Mavericks	115–120	Golden State Warriors	Baron Davis	19,596	0–5
11/14	Detroit Pistons	104–111	Golden State Warriors	Baron Davis	18,923	0–6
11/16	Los Angeles Clippers	122–105	Golden State Warriors	Al Harrington	19,596	1–6
11/18	Golden State Warriors	106–100	Toronto Raptors	Stephen Jackson	19,800	2–6
11/20	Golden State Warriors	108–82	New York Knicks	Baron Davis	19,763	3–6
11/21	Golden State Warriors	82–105	Boston Celtics	Monta Ellis	18,624	3–7
11/23	Golden State Warriors	123–115	Washington Wizards	Baron Davis	20,173	4–7
11/24	Golden State Warriors	100–98	Philadelphia 76ers	Monta Ellis	13,047	5–7
11/26	Phoenix Suns	129–114	Golden State Warriors	Stephen Jackson	19,596	6–7
11/28	Golden State Warriors	103–96	Sacramento Kings	Monta Ellis	13,652	7–7
11/29	Houston Rockets	113–94	Golden State Warriors	Baron Davis	19,596	8–7
