Game	March	Opponent	Score	Record	Points
57	2	@ New Jersey Devils	3–4	30–18–9	69
58	3	@ New York Islanders	1–3	30–19–9	69
59	5	Washington Capitals	3–2	31–19–9	71
60	7	@ Pittsburgh Penguins	4–6	31–20–9	71
61	8	Pittsburgh Penguins	4–3 OT	32–20–9	73
62	10	New Jersey Devils	2–2 OT	32–20–10	74
63	12	Vancouver Canucks	3–2	33–20–10	76
64	14	Detroit Red Wings	6–1	34–20–10	78
65	16	Toronto Maple Leafs	4–1	35–20–10	80
66	19	Mighty Ducks of Anaheim	3–3 OT	35–20–11	81
67	21	@ Pittsburgh Penguins	3–4	35–21–11	81
68	22	New York Rangers	5–4 OT	36–21–11	83
69	24	@ New Jersey Devils	2–3	36–22–11	83
70	26	@ Boston Bruins	2–4	36–23–11	83
71	28	Carolina Hurricanes	2–4	36–24–11	83
72	29	@ Carolina Hurricanes	3–1	37–24–11	85
73	31	Chicago Blackhawks	3–2	38–24–11	87
