Outcome	Date	Surface	Opponent	Score
Runner-up	13 October 1997	Hard (i)	Fabrice Santoro	4–6, 4–6
Runner-up	19 October 1998	Hard (i)	Àlex Corretja	6–2, 6–7 (6–8) , 1–6
Runner-up	11 January 1999	Hard	Sjeng Schalken	4–6, 4–6
Winner	15 February 1999	Hard	Jim Courier	6–4, 6–1
Runner-up	19 July 1999	Clay	Magnus Norman	7–6 (8–6) , 6–4, 6–7 (7–9) , 0–6, 3–6
Runner-up	17 September 1999	Carpet	Greg Rusedski	3–6, 4–6, 7–6 (7–5) , 6–7 (5–7)
Runner-up	1 May 2000	Clay	Franco Squillari	4–6, 4–6
Runner-up	18 September 2000	Hard	Yevgeny Kafelnikov	6–7 (4–7) , 6–3, 2–6, 6–4, 3–6
Runner-up	9 October 2000	Hard (i)	Tim Henman	4–6, 4–6, 4–6
Winner	1 January 2001	Hard	Nicolás Massú	6–3, 6–1
Winner	20 August 2001	Hard	Pete Sampras	6–3, 3–6, 6–2
Winner	8 October 2001	Hard (i)	Guillermo Cañas	6–2, 7–6 (8–6) , 6–4
Winner	15 October 2001	Hard (i)	Max Mirnyi	6–2, 6–2, 6–2
Runner-up	6 May 2002	Clay	Andre Agassi	3–6, 3–6, 0–6
Winner	12 April 2004	Clay	Andy Roddick	6–3, 6–4
Winner	12 July 2004	Hard	Nicolas Kiefer	7–6 (8–6) , 6–4
Winner	5 February 2006	Hard	Xavier Malisse	6–3, 3–6, 7–6 (7–5)
Winner	25 February 2006	Hard (i)	Robin Söderling	6–3, 6–2
Winner	24 July 2006	Hard	Dmitry Tursunov	4–6, 7–5, 6–3
Winner	25 February 2007	Hard (i)	Andy Roddick	6–2, 6–3
Winner	14 June 2009	Grass	Novak Djokovic	6–3, 6–7 (4–7) , 6–1
Winner	17 June 2012	Grass	Roger Federer	7–6 (7–5) , 6–4
Runner-up	22 July 2012	Clay	Juan Mónaco	5–7, 4–6
Runner-up	5 August 2012	Hard	Alexandr Dolgopolov	7–6 (9–7) , 4–6, 1–6
Runner-up	17 February 2013	Hard (i)	Milos Raonic	4–6, 3–6
Winner	5 May 2013	Clay	Philipp Kohlschreiber	6–3, 7–6 (7–3)
Winner	20 October 2013	Hard (i)	Robin Haase	6–3, 4–6, 6–4
