Round	Country	Circuit	Date	Pole Position	Fastest Lap	Winning Rider	Winning Team	Report
1	Australia	Phillip Island Grand Prix Circuit	1 March	Kenan Sofuoğlu	Andrew Pitt	Kenan Sofuoğlu	Ten Kate Honda	Report
2	Qatar	Losail International Circuit	14 March	Cal Crutchlow	Andrew Pitt	Eugene Laverty	Parkalgar Honda	Report
3	Spain	Circuit Ricardo Tormo	5 April	Cal Crutchlow	Cal Crutchlow	Cal Crutchlow	Yamaha World Supersport	Report
4	Netherlands	TT Circuit Assen	26 April	Cal Crutchlow	Cal Crutchlow	Eugene Laverty	Parkalgar Honda	Report
5	Italy	Autodromo Nazionale Monza	10 May	Cal Crutchlow	Cal Crutchlow	Cal Crutchlow	Yamaha World Supersport	Report
6	South Africa	Kyalami	17 May	Cal Crutchlow	Eugene Laverty	Eugene Laverty	Parkalgar Honda	Report
7	United States	Miller Motorsports Park	31 May	Joan Lascorz	Kenan Sofuoğlu	Kenan Sofuoğlu	Ten Kate Honda	Report
8	San Marino	Misano World Circuit	21 June	Michele Pirro	Cal Crutchlow	Cal Crutchlow	Yamaha World Supersport	Report
9	Great Britain	Donington Park	28 June	Cal Crutchlow	Cal Crutchlow	Cal Crutchlow	Yamaha World Supersport	Report
10	Czech Republic	Masaryk Circuit	26 July	Cal Crutchlow	Cal Crutchlow	Fabien Foret	Yamaha World Supersport	Report
11	Germany	Nürburgring	6 September	Cal Crutchlow	Cal Crutchlow	Cal Crutchlow	Yamaha World Supersport	Report
12	Italy	Autodromo Enzo e Dino Ferrari	27 September	Cal Crutchlow	Cal Crutchlow	Kenan Sofuoğlu	Ten Kate Honda	Report
13	France	Circuit de Nevers Magny-Cours	4 October	Cal Crutchlow	Cal Crutchlow	Joan Lascorz	Provec Kawasaki	Report
