Draw	Language	Artist	Song	English translation	Place	Points
01	Swedish	Marie Bergman and Roger Pontare	" Stjärnorna "	The stars	13	48
02	Finnish	CatCat	" Bye Bye Baby "	–	22	11
03	English	Paul Harrington and Charlie McGettigan	" Rock 'n' Roll Kids "	–	1	226
04	Greek	Evridiki	" Íme ánthropos ki egó " (Είμαι άνθρωπος κι εγώ)	I'm human too	11	51
05	Icelandic	Sigga	" Nætur "	Nights	12	49
06	English	Frances Ruffelle	" We Will Be Free (Lonely Symphony) "	–	10	63
07	Croatian	Tony Cetinski	" Nek' ti bude ljubav sva "	You may have all the love	16	27
08	Portuguese	Sara Tavares	" Chamar a música "	Call the music	8	73
09	Italian	Duilio	" Sto pregando "	I'm praying	19	15
10	Estonian	Silvi Vrait	" Nagu merelaine "	Like a seawave	24	2
11	Romanian	Dan Bittman	" Dincolo de nori "	Beyond the clouds	21	14
12	English	Chris and Moira	" More than Love "	–	5	97
13	Dutch	Willeke Alberti	" Waar is de zon? "	Where is the sun?	23	4
14	German	MeKaDo	" Wir geben 'ne Party "	We're throwing a party	3	128
15	Slovak	Tublatanka	" Nekonečná pieseň "	Neverending song	19	15
16	Lithuanian	Ovidijus Vyšniauskas	" Lopšinė mylimai "	Lullaby for my beloved	25	0
17	Norwegian	Elisabeth Andreassen and Jan Werner Danielsen	" Duett "	Duet	6	76
18	Bosnian	Alma and Dejan	" Ostani kraj mene "	Stay beside me	15	39
19	Greek	Kostas Bigalis and The Sea Lovers	" To Trehandiri " (Το τρεχαντήρι)	The trehandiri	14	44
20	German	Petra Frey	" Für den Frieden der Welt "	For the peace of the world	17	19
21	Spanish	Alejandro Abad	" Ella no es ella "	She's not her	18	17
22	Hungarian	Friderika Bayer	" Kinek mondjam el vétkeimet? "	Whom can I tell my sins?	4	122
23	Russian	Youddiph	" Vechny strannik " (Вечный странник)	Eternal wanderer	9	70
24	Polish	Edyta Górniak	" To nie ja! "	That's not me!	2	166
25	French	Nina Morato	" Je suis un vrai garçon "	I'm a real boy	7	74
