Place	Rider	Country	Machine	Speed	Time	Points
1	Siegfried Schauzu /Wolfgang Kalauch	West Germany	BMW	91.85mph	1:13.57.2	15
2	Heinz Luthringshauser/J.Cusnik	West Germany	BMW	91.70mph	1:14.04.6	12
3	Gerry Boret/Nick Boret	United Kingdom	Konig	84.43mph	1:20.27.4	10
4	W.Klenk/N.Scheerer	West Germany	BMW	83.62mph	1:21.31.8	8
5	Barry Dungworth/R.W.Turrington	United Kingdom	BMW	82.32mph	1:22.30.6	6
6	Roy Hanks/J.P.Mann	United Kingdom	BSA	80.07mph	1:24.49.6	5
7	R.Woodhouse/D.Woodhouse	United Kingdom	BSA	79.83mph	1.25.05.40	4
8	Roger Dutton/Tony Wright	United Kingdom	BMW	79.63mph	1.25.18.0	3
9	George O'Dell /Bill Boldison	United Kingdom	BSA	79.60mph	1.25.20.2	2
10	J.Barker/A.Macfadzean	United Kingdom	BSA	79.52mph	1.25.28.2	1
