Federal State	Number of Members	% Of total Members	Population (on the census also called Censo 2010)	% Of the population (Censo 2010)	Representativeness (Inhabitants / Mr)	Representatives of national average	Deputies required ignoring the limits
São Paulo	70	13,6%	39 924 091	21,5%	570 344	110	40
Minas Gerais	53	10,3%	19 159 260	10,3%	361 495	53	0
Rio de Janeiro	46	9%	15 180 636	8,2%	330 014	42	-4
Bahia	39	7,6%	13 633 969	7,3%	349 589	38	-1
Rio Grande do Sul	31	6%	10 576 758	5,7%	341 186	29	-2
Paraná	30	5,8%	10 226 737	5,5%	340 891	28	-2
Pernambuco	25	4,9%	8 541 250	4,6%	341 650	24	-1
Ceará	22	4,3%	8 450 527	4,4%	371 822	23	1
Maranhão	18	3,5%	6 424 340	3,5%	356 908	18	0
Goiás	17	3,3%	5 849 105	3,1%	344 065	16	-1
Pará	17	3,3%	7 443 904	4%	437 877	21	4
Santa Catarina	16	3,1%	6 178 603	3,3%	386 163	17	1
Paraíba	12	2,3%	3 753 633	2%	312 803	10	-2
Espírito Santo	10	1,9%	3 392 775	1,8%	339 278	9	-1
Piauí	10	1,9%	3 086 448	1,7%	308 645	9	-1
Alagoas	9	1,7%	3 093 994	1,7%	343 777	9	0
Acre	8	1,6%	707 125	0,4%	88 391	2	-6
Amazonas	8	1,6%	3 350 773	1,8%	418 847	9	1
Amapá	8	1,6%	648 553	0,3%	81 069	2	-6
Distrito Federal	8	1,6%	2 469 489	1,3%	308 686	7	-1
Mato Grosso do Sul	8	1,6%	2 404 256	1,3%	300 532	7	-1
Mato Grosso	8	1,6%	2 954 625	1,6%	369 328	8	0
Rio Grande do Norte	8	1,6%	3 121 451	1,7%	390 181	9	1
Rondônia	8	1,6%	1 535 625	0,8%	191 953	4	-4
Roraima	8	1,6%	425 398	0,2%	53 175	1	-7
Sergipe	8	1,6%	2 036 227	1,1%	254 528	6	-2
Tocantins	8	1,6%	1 373 551	0,7%	171 694	4	-4
Total	513	100%	185 712 713	100%	362 013 (representative national average)	514 (Population / representative national average)	1
