Round	Player	Position	Nationality	College/Junior/Club Team (League)
3	Rob Bellamy	Right Wing	United States	New England Jr. Coyotes ( EJHL )
4	R. J. Anderson	Defense	United States	Centennial High School (Minn.)
4	David Laliberte	Right Wing	Canada	Prince Edward Island Rocket ( QMJHL )
5	Chris Zarb	Defense	United States	Tri-City Storm ( USHL )
5	Gino Pisellini	Right Wing	United States	Plymouth Whalers ( OHL )
6	Ladislav Scurko	Center	Slovakia	Spišská Nová Ves (Slovakia)
6	Frederik Cabana	Center	Canada	Halifax Mooseheads (QMJHL)
8	Martin Houle	Goaltender	Canada	Cape Breton Screaming Eagles (QMJHL)
8	Travis Gawryletz	Defense	Canada	Trail Smoke Eaters ( BCHL )
9	Triston Grant	Left Wing	Canada	Vancouver Giants ( WHL )
9	John Carter	Center	United States	Brewster Bulldogs (EMJHL)
