Date	Venue	Score	Result	Competition
31 March 1999	Stade de France , Saint-Denis , France	1 – 0	2 – 0	UEFA Euro 2000 qualifying
5 June 1999	Stade de France , Saint-Denis , France	2 – 1	2 – 3	UEFA Euro 2000 qualifying
29 March 2000	Hampden Park , Glasgow, Scotland	0 – 1	0 – 2	Friendly match
6 June 2000	Stade Mohamed V , Casablanca , Morocco	1 – 5	1 – 5	2000 King Hassan II International Cup Tournament
11 June 2000	Jan Breydel Stadium , Bruges , Belgium	3 – 0	3 – 0	UEFA Euro 2000
2 July 2000	Feijenoord Stadion , Rotterdam , Netherlands	1 – 1	2 – 1	UEFA Euro 2000
4 October 2000	Stade de France , Saint-Denis , France	1 – 0	1 – 1	Friendly match
15 November 2000	BJK İnönü Stadium , Istanbul , Turkey	0 – 2	0 – 4	Friendly match
24 March 2001	Stade de France , Saint-Denis , France	3 – 0	5 – 0	Friendly match
25 April 2001	Stade de France , Saint-Denis , France	1 – 0	4 – 0	Friendly match
30 May 2001	Daegu World Cup Stadium , Daegu , South Korea	5 – 0	5 – 0	2001 FIFA Confederations Cup
3 June 2001	Munsu Cup Stadium , Ulsan , South Korea	1 – 0	4 – 0	2001 FIFA Confederations Cup
7 September 2002	GSP Stadium , Nicosia , Cyprus	1 – 2	1 – 2	UEFA Euro 2004 qualifying
12 October 2002	Stade de France , Saint-Denis , France	4 – 0	5 – 0	UEFA Euro 2004 qualifying
16 October 2002	Ta' Qali Stadium , Ta' Qali , Malta	0 – 3	0 – 4	UEFA Euro 2004 qualifying
29 March 2003	Stade Félix-Bollaert , Lens , France	1 – 0	6 – 0	UEFA Euro 2004 qualifying
26 June 2003	Stade de France , Saint-Denis , France	3 – 1	3 – 2	2003 FIFA Confederations Cup
20 August 2003	Stade de Genève , Genève , Switzerland	0 – 1	0 – 2	Friendly match
6 September 2003	Stade de France , Saint-Denis , France	2 – 0	5 – 0	UEFA Euro 2004 qualifying
6 September 2003	Stade de France , Saint-Denis , France	3 – 0	5 – 0	UEFA Euro 2004 qualifying
28 May 2004	Stade de la Mosson , Montpellier , France	1 – 0	4 – 0	Friendly match
28 May 2004	Stade de la Mosson , Montpellier , France	2 – 0	4 – 0	Friendly match
13 October 2004	GSP Stadium , Nicosia , Cyprus	0 – 1	0 – 2	2006 FIFA World Cup qualification (UEFA)
12 October 2005	Stade de France , Saint-Denis , France	2 – 0	4 – 0	2006 FIFA World Cup qualification (UEFA)
1 March 2006	Stade de France , Saint-Denis , France	1 – 1	1 – 2	Friendly match
25 April 2006	Stade Félix-Bollaert , Lens , France	2 – 0	2 – 0	Friendly match
