Nat.	Name	First game	Final game	Apps	Goals
Scotland	Derek Addison Category:Articles with hCards	12 January 1974	8 August 1981	137	15
Scotland	Alan Archibald Category:Articles with hCards	9 August 2003	16 January 2007	144	7
Scotland	Alex Arnold Category:Articles with hCards	16 August 1952	24 April 1957	140	0
Scotland	Eamonn Bannon Category:Articles with hCards	31 October 1979	14 May 1988	440	108
Scotland	Bobby Bauld Category:Articles with hCards	3 November 1923	30 April 1927	143	30
Scotland	Dave Beaumont Category:Articles with hCards	26 October 1983	7 January 1989	119	5
Scotland	Doug Berrie Category:Articles with hCards	14 December 1946	28 March 1953	185	0
Scotland	Tom Boland Category:Articles with hCards	4 September 1909	27 April 1914	102	3
Scotland	Dave Bowman Category:Articles with hCards	9 August 1986	9 May 1998	429	12
Scotland	Craig Brewster Category:Articles with hCards	7 August 1993	19 September 2006	117	47
Scotland	Jimmy Briggs Category:Articles with hCards	24 August 1955	17 January 1970	401	33
Ghana	Prince Buaben Category:Articles with hCards	4 August 2007	15 May 2011	142	11
Scotland	Jim Cameron Category:Articles with hCards	22 April 1967	18 August 1973	208	1
Scotland	Kenny Cameron Category:Articles with hCards	10 August 1968	3 May 1974	170	83
Scotland	Wattie Carlyle Category:Articles with hCards	13 August 1960	26 October 1963	103	45
Scotland	John Clark Category:Articles with hCards	3 November 1982	9 November 1993	329	37
Scotland	Alec Cleland Category:Articles with hCards	30 April 1988	14 January 1995	183	10
Scotland	Paddy Connolly Category:Articles with hCards	6 May 1989	23 September 1995	144	40
Scotland	Craig Conway Category:Articles with hCards	29 July 2006	15 May 2011	166	16
Scotland	Jackie Copland Category:Articles with hCards	19 December 1970	4 May 1976	192	22
Scotland	Johnny Coyle Category:Articles with hCards	11 August 1951	14 December 1957	132	112
Scotland	Dave Cross Category:Articles with hCards	14 August 1954	15 March 1958	137	3
Scotland	George Cruikshank Category:Articles with hCards	4 September 1948	31 March 1954	186	32
Scotland	Christian Dailly Category:Articles with hCards	21 August 1990	16 May 1996	178	21
Ireland	Jon Daly Category:Articles with hCards	13 January 2007	19 May 2013	203	73
Scotland	Sandy Davie Category:Articles with hCards	21 April 1962	10 May 1974	184	0
Canada	Jason de Vos Category:Articles with hCards	17 October 1998	12 May 2001	111	2
Netherlands	Sieb Dijkstra Category:Articles with hCards	7 December 1996	1 May 1999	113	0
Ireland	Sean Dillon Category:Articles with hCards	13 January 2007	24 August 2013*	238	3
Scotland	Paul Dixon Category:Articles with hCards	23 September 2008	13 May 2012	146	5
Scotland	Billy Dodds Category:Articles with hCards	23 September 1998	19 February 2005	132	42
Scotland	Davie Dodds Category:Articles with hCards	18 August 1976	12 April 1986	369	150
Scotland	Darren Dods Category:Articles with hCards	4 August 2007	2 October 2010	100	5
Denmark	Finn Døssing Category:Articles with hCards	5 December 1964	21 October 1967	115	76
Scotland	Stuart Duff Category:Articles with hCards	1 December 2001	22 December 2007	171	4
Scotland	Andy Dunsmore Category:Articles with hCards	12 March 1949	31 March 1954	104	27
Scotland	Craig Easton Category:Articles with hCards	1 January 1997	16 May 2004	259	17
Scotland	Alec Edmiston Category:Articles with hCards	8 January 1949	15 April 1957	178	0
Scotland	Iain Ferguson Category:Articles with hCards	23 August 1986	14 May 1988	104	44
Scotland	George Fleming Category:Articles with hCards	12 February 1972	26 April 1980	340	37
Ireland	Willo Flood Category:Articles with hCards	4 August 2007	19 May 2013	152	5
Scotland	Stewart Fraser Category:Articles with hCards	18 September 1957	29 October 1966	246	15
Scotland	Kevin Gallacher Category:Articles with hCards	11 December 1985	20 January 1990	188	40
Scotland	Paul Gallacher Category:Articles with hCards	26 February 2000	16 May 2004	138	0
Scotland	Bobby Gardiner Category:Articles with hCards	16 December 1933	10 April 1943	166	66
Scotland	George Gardiner Category:Articles with hCards	10 August 1929	22 April 1933	141	7
Scotland	Pat Gardner Category:Articles with hCards	29 January 1972	12 October 1974	113	24
Scotland	Dennis Gillespie Category:Articles with hCards	5 September 1959	27 February 1971	455	115
Senegal	Morgaro Gomis Category:Articles with hCards	1 January 2007	15 May 2011	180	7
Scotland	David Goodwillie Category:Articles with hCards	31 December 2005	24 August 2013*	140	41
Scotland	Alan Gordon Category:Articles with hCards	31 March 1969	15 January 1972	104	41
Scotland	Alex Gordon Category:Articles with hCards	18 February 1961	19 April 1965	106	1
Scotland	Richard Gough Category:Articles with hCards	22 April 1981	16 August 1986	256	37
Scotland	George Grant Category:Articles with hCards	7 December 1946	6 November 1954	244	51
Scotland	David Hannah Category:Articles with hCards	13 February 1993	6 March 2002	183	24
Scotland	Johnny Hart Category:Articles with hCards	14 August 1926	19 April 1930	131	28
Scotland	Paul Hegarty Category:Articles with hCards	16 November 1974	17 October 1989	707	82
Scotland	Jim Henry Category:Articles with hCards	25 October 1969	5 January 1974	130	12
Scotland	John Holt Category:Articles with hCards	19 January 1974	12 September 1987	405	24
Scotland	Doug Houston Category:Articles with hCards	30 March 1974	23 April 1977	107	5
Scotland	Duncan Hutchinson Category:Articles with hCards	13 August 1927	29 April 1939	215	122
Scotland	Jim Irvine Category:Articles with hCards	19 August 1959	9 May 1964	160	76
Scotland	Darren Jackson Category:Articles with hCards	17 December 1988	2 May 1992	110	37
Scotland	Alex Jardine Category:Articles with hCards	9 March 1946	4 February 1950	108	2
Scotland	Grant Johnson Category:Articles with hCards	7 March 1992	21 September 1996	101	11
Scotland	Jacky Kay Category:Articles with hCards	13 August 1927	13 April 1936	249	91
Scotland	Jock Kay Category:Articles with hCards	18 August 1923	14 April 1928	191	3
Scotland	Garry Kenneth Category:Articles with hCards	5 February 2005	6 May 2012	193	7
Scotland	Mark Kerr Category:Articles with hCards	9 August 2003	22 May 2008	188	5
Scotland	Billy Kirkwood Category:Articles with hCards	20 April 1977	25 August 1987	399	70
Scotland	Frank Kopel Category:Articles with hCards	29 January 1972	24 October 1981	407	13
Yugoslavia	Miodrag Krivokapić Category:Articles with hCards	20 September 1988	5 January 1993	108	1
Scotland	Willie Linn Category:Articles with hCards	11 November 1911	29 April 1922	129	33
Scotland	Don Mackay Category:Articles with hCards	11 August 1962	25 March 1972	243	0
Scotland	Piper Mackay Category:Articles with hCards	16 January 1943	15 November 1947	128	17
Scotland	Alan Main Category:Articles with hCards	24 March 1987	1 October 1994	187	0
Scotland	Maurice Malpas Category:Articles with hCards	21 November 1981	21 May 2000	830	26
Scotland	Stuart Markland Category:Articles with hCards	28 August 1968	3 March 1973	106	3
Scotland	Hamish McAlpine Category:Articles with hCards	8 March 1969	9 October 1985	688	3
Scotland	David McCracken Category:Articles with hCards	2 May 2000	19 May 2007	203	8
Scotland	Jock McDonald Category:Articles with hCards	15 August 1925	31 March 1928	115	11
Scotland	Jim McInally Category:Articles with hCards	20 September 1986	10 May 1997	395	22
Scotland	Chic McIntosh Category:Articles with hCards	8 August 1931	17 March 1934	100	0
Scotland	Jim McIntyre Category:Articles with hCards	28 July 2001	6 May 2006	164	43
Scotland	Peter McKay Category:Articles with hCards	13 September 1947	31 March 1954	241	203
Scotland	Billy McKinlay Category:Articles with hCards	22 November 1986	30 September 1995	284	31
Scotland	Ray McKinnon Category:Articles with hCards	8 April 1989	2 May 1998	122	13
Scotland	Andy McLaren Category:Articles with hCards	27 August 1991	25 September 2004	250	23
Scotland	Gary McSwegan Category:Articles with hCards	7 October 1995	4 October 1998	119	47
Scotland	Tommy Millar Category:Articles with hCards	17 April 1962	4 January 1969	282	10
Scotland	Charlie Miller Category:Articles with hCards	4 November 2000	16 May 2004	135	19
Scotland	Arthur Milne Category:Articles with hCards	28 November 1934	11 May 1940	111	109
Scotland	Ralph Milne Category:Articles with hCards	28 July 1979	10 December 1986	286	75
Scotland	George Mitchell Category:Articles with hCards	1 January 1949	22 March 1952	101	10
Scotland	Ian Mitchell Category:Articles with hCards	29 September 1962	28 April 1973	314	133
Scotland	David Narey Category:Articles with hCards	21 November 1973	2 April 1994	872	36
Scotland	Tommy Neilson Category:Articles with hCards	24 October 1959	17 April 1968	316	11
Sweden	Kjell Olofsson Category:Articles with hCards	26 October 1996	23 May 1999	119	46
Finland	Mixu Paatelainen Category:Articles with hCards	31 October 1987	21 March 1992	173	47
Scotland	Jim Paterson Category:Articles with hCards	12 September 1998	25 January 2004	126	6
Scotland	Graeme Payne Category:Articles with hCards	11 August 1973	30 November 1983	293	21
Scotland	Frank Penson Category:Articles with hCards	9 August 1930	22 April 1933	108	0
Slovakia	Dušan Perniš Category:Articles with hCards	9 January 2010	13 May 2012	116	0
Scotland	Mark Perry Category:Articles with hCards	12 December 1992	25 April 1998	159	4
Sweden	Örjan Persson Category:Articles with hCards	5 December 1964	3 May 1967	101	17
Scotland	Iain Phillip Category:Articles with hCards	16 December 1978	19 March 1983	149	1
Scotland	Steven Pressley Category:Articles with hCards	12 August 1995	2 May 1998	129	6
Scotland	Frank Quinn Category:Articles with hCards	1 September 1948	13 March 1954	200	109
Scotland	Ian Redford Category:Articles with hCards	17 August 1985	22 October 1988	155	32
Scotland	Alex Reid Category:Articles with hCards	10 August 1968	28 August 1976	147	20
Scotland	David Robertson Category:Articles with hCards	21 January 2006	15 May 2011	145	20
Scotland	Scott Robertson Category:Articles with hCards	11 August 2008	13 May 2012	126	12
Scotland	Barry Robson Category:Articles with hCards	9 August 2003	26 January 2008	166	37
Scotland	Andy Rolland Category:Articles with hCards	30 September 1967	4 February 1978	440	37
Scotland	Bobby Ross Category:Articles with hCards	6 January 1945	13 August 1952	219	2
Scotland	George Ross Category:Articles with hCards	6 February 1929	25 September 1943	159	65
Scotland	Johnny Russell Category:Articles with hCards	12 May 2007	19 May 2013	121	45
Trinidad and Tobago	Collin Samuel Category:Articles with hCards	9 August 2003	19 May 2007	132	15
Scotland	Tommy Simpson Category:Articles with hCards	22 December 1923	30 April 1927	105	15
Scotland	Dave Skelligan Category:Articles with hCards	10 August 1935	29 April 1939	129	17
Scotland	Ian Smart Category:Articles with hCards	9 August 1941	14 April 1952	144	17
Scotland	Doug Smith Category:Articles with hCards	22 April 1959	31 January 1976	628	27
Scotland	Walter Smith Category:Articles with hCards	20 March 1967	24 September 1980	183	3
Scotland	Derek Stark Category:Articles with hCards	2 May 1978	30 April 1984	247	111
Scotland	Dave Sturrock Category:Articles with hCards	14 January 1956	14 November 1959	110	26
Scotland	Paul Sturrock Category:Articles with hCards	18 September 1974	13 May 1989	576	171
Scotland	Danny Swanson Category:Articles with hCards	2 January 2008	13 May 2012	127	12
Scotland	Bill Taylor Category:Articles with hCards	26 November 1927	11 March 1933	209	1
Scotland	Steven Thompson Category:Articles with hCards	3 May 1997	29 December 2002	163	32
Scotland	Billy Thomson Category:Articles with hCards	11 August 1984	3 October 1990	234	0
Scotland	Tommy Traynor Category:Articles with hCards	8 August 1970	30 August 1975	176	23
