Driver	Constructor	Laps	Time/Retired	Grid
Fernando Alonso	Renault	62	1:27:41.921	2
Michael Schumacher	Ferrari	62	+0.215	13
Alexander Wurz	McLaren - Mercedes	62	+27.554	7
Jacques Villeneuve	Sauber - Petronas	62	+1:04.442	11
Jarno Trulli	Toyota	62	+1:10.258	5
Nick Heidfeld	Williams - BMW	62	+1:11.282	8
Mark Webber	Williams - BMW	62	+1:23.297	4
Vitantonio Liuzzi	Red Bull - Cosworth	62	+1:23.764	15
Ralf Schumacher	Toyota	62	+1:35.841	10
Felipe Massa	Sauber - Petronas	61	+1 Lap	18
David Coulthard	Red Bull - Cosworth	61	+1 Lap	14
Narain Karthikeyan	Jordan - Toyota	61	+1 Lap	16
Tiago Monteiro	Jordan - Toyota	60	+2 Laps	17
Christijan Albers	Minardi - Cosworth	20	Hydraulics	20
Rubens Barrichello	Ferrari	18	Electrical	9
Kimi Räikkönen	McLaren - Mercedes	9	Driveshaft	1
Patrick Friesacher	Minardi - Cosworth	8	Clutch	19
Giancarlo Fisichella	Renault	5	Accident	12
Jenson Button	BAR - Honda	62	+10.481	3
Takuma Sato	BAR - Honda	62	+34.783	6
