Model	Manufacturer	Weight (kg)	Display size (in)	Processor model	Storage type
EeePC 4G	Asus	0.99	7	Intel Celeron M	SSD
EeePC 900	Asus	0.92	8.9	Intel Celeron M	SSD
HP 2133 Mini-Note PC	HP	1.19	8.9	VIA C7-M ULV	SSD HDD
FlyBook V33i	Dialogue Technology	1.2	8.9	Pentium M	HDD
FlyBook A33i	Dialogue Technology	1.2	8.9	Transmeta Crusoe	HDD
LG P100	LG	1.3	10.6	Core 2 Duo ULV	HDD
Lifebook P1510	Fujitsu	0.9	8.9	Pentium M	HDD
Lifebook P1610	Fujitsu	1	8.9	Core Solo ULV U1400	HDD
Lifebook P1620	Fujitsu	1	8.9	Core 2 Duo ULV U7600	HDD
Samsung Series 3	Samsung	1.21	11.6	AMD E-350 , E-450	HDD
Panasonic R4	Panasonic	0.9	10.4	Pentium M	HDD
Panasonic R9	Panasonic	0.930	10.4	Intel Core i7-640UM VPro Intel Core i7-620UM VPro	SSD HDD
VAIO PCG-X505/CP	Sony	0.78	10.4	Pentium M	HDD
VAIO PCG-TR1MP	Sony	1.5	10.6	Pentium	HDD
VAIO PCG-U3	Sony	0.82	6.4	TMS 5800	HDD
VAIO VGN-TZ	Sony	1.2	11.1	Core 2 Duo ULV U7600/U7700	SSD, DVD
VAIO VGN-TZ	Sony	1.2	11.1	Core 2 Duo ULV U7600/U7700	HDD, DVD
VAIO VGN-TX2	Sony	1.2	11.1	Pentium M ULV 773	SSD, DVD
VAIO VGN-TX2	Sony	1.2	11.1	Pentium M ULV 773	HDD, DVD
VersaPro VY10F/BH-L	NEC	1.3	12	Pentium M ULV	HDD
U200	Micro-Star International	1.3	12.1	Intel Core 2 Solo SU3500	HDD
X340	Micro-Star International	1.3	13.3	Intel Core 2 Duo U7600	HDD
X370	Micro-Star International	1.4	13.3	AMD E-450	HDD
S30	Micro-Star International	1.4	13.3	Intel Core i3	HDD+SSD
