Rank	Country	International tourist arrivals (2012)	International tourist arrivals (2011)	Change (2011 to 2012)	Change (2010 to 2011)
1	United States	67.0 million	62.7 million	+6.8%	+4.9%
2	Mexico	23.4 million	23.4 million	+0.0%	+0.5%
3	Canada	16.3 million	16.0 million	+1.8%	-1.3%
4	Brazil	5.6 million	5.4 million	+4.5%	+5.3%
5	Argentina	5.5 million	5.7 million	-1.9%	+7.1%
6	Dominican Republic	4.5 million	4.3 million	+5.9%	+4.4%
7	Chile	3.5 million	3.1 million	+13.3%	+12.0%
8	Puerto Rico	3.0 million	3.0 million	+0.7%	-4.3%
9	Peru	2.8 million	2.5 million	+9.5%	+13.0%
10	Uruguay	2.6 million	2.8 million	-5.7%	+21.6%
