Name	Deceased Spouse	Cause of Death	Date of Spouses Death	Length of Marriage	Children Together	Current Marital Status
Edie Adams	Ernie Kovacs	Automobile Accident	January 13, 1962 (aged42)	8 years	1 Daughter (Mia)	Deceased (2008)
Sheila Allen	Irwin Allen	Heart Attack	November 2, 1991 (aged75)	17 years	None	Single
Eve Arden	Brooks West	Heart Ailment	February 7, 1984 (aged67)	32 years	2 Sons (Douglas, Duncan adopted)	Deceased (1990)
Lauren Bacall	Humphrey Bogart	Esophageal Cancer	January 14, 1957 (aged57)	12 years	1 Daughter (Leslie) 1 Son (Stephen)	Remarried ( divorced )
Candice Bergen	Louis Malle	Lymphoma	November 23, 1995 (aged63)	15 years	1 Daughter (Chloé)	Remarried (2000)
Ingmar Bergman	Ingrid Bergman	Stomach Cancer	May 20, 1995 (aged65)	24 years	1 Daughter (Maria)	Deceased (2007)
Charles Bronson	Jill Ireland	Breast Cancer	May 18, 1990 (aged54)	22 years	2 Daughters (Zuleika, Katrina adopted)	Deceased (2003)
Mel Brooks	Anne Bancroft	Uterine Cancer	June 6, 2005 (aged73)	41 years	1 Son ( Maximillian )	Single
Sally Burton	Richard Burton	Brain Hemorrhage	August 5, 1984 (aged58)	1 year	None	Single
Sue Carol	Alan Ladd	Acute Overdose	January 29, 1964 (aged50)	22 years	1 Daughter (Alana) 1 Son ( David )	Deceased (1982)
Mickey Deans	Judy Garland	Overdose	June 22, 1969 (aged47)	3 months	None	Deceased (2003)
Carol DeLuise	Dom DeLuise	Cancer, Kidney Failure, Diabetes	May 4, 2009 (aged75)	44 years	3 Sons ( Peter , Michael , David )	Single
Bradford Dillman	Suzy Parker	Unknown	May 3, 2003 (aged70)	40 years	1 Daughter (Dinah) 2 Sons (Charlie, Christopher)	Single
Lillian Disney	Walt Disney	Lung Cancer	December 15, 1966 (aged65)	41 years	2 Daughters ( Diane , Sharon adopted)	Deceased (1997)
