Riding	Province	Candidate	Votes	Placement
Ahuntsic	Quebec	Jean-Olivier Berthiaume	299	6/6
Berthier—Maskinongé	Quebec	Martin Jubinville	373	6/6
Chicoutimi—Le Fjord	Quebec	Marielle Couture	340	6/6
Hochelaga	Quebec	Hugo Samson Veillette	246	6/8
Honoré-Mercier	Quebec	Valery Chevrefils-Latulippe	181	6/7
LaSalle—Émard	Quebec	Guillaume Berger-Richard	208	7/7
Laurier—Sainte-Marie	Quebec	François Yo Gourd	398	6/9
Outremont	Quebec	Tommy Gaudet	160	6/7
Rosemont—La Petite-Patrie	Quebec	Jean-Patrick Berthiaume	417	6/7
Sherbrooke	Quebec	Crédible Berlingot Landry	233	6/6
Trois-Rivières	Quebec	Francis Arsenault	256	7/7
Westmount—Ville-Marie	Quebec	Victoria Haliburton	140	6/7
Peace River	Alberta	Donovan Eckstrom	345	6/6
Cariboo—Prince George	British Columbia	Jordan Turner	204	7/7
