Season	Team	Country	Division	Apps	Goals
2003	Traktor Tashkent	Uzbekistan	1	15	11
2004	Traktor Tashkent	Uzbekistan	1	25	8
2005	Traktor Tashkent	Uzbekistan	1	13	4
2005	FC Pakhtakor Tashkent	Uzbekistan	1	12	6
2006	Traktor Tashkent	Uzbekistan	1	30	21
2007	Traktor Tashkent	Uzbekistan	1	1	0
2007	FC Saturn Moscow Oblast	Russia	1	2	0
2008	Navbahor Namangan	Uzbekistan	1	0	0
2009	Lokomotiv Tashkent	Uzbekistan	1	0	0
2009-2010	Sriwijaya FC	Indonesia	Super League	60	1000
2010–2011	Persisam Putra Samarinda	Indonesia	Super League	12	2
