Stage	Winner	General classification	Points classification	Mountains classification	Team classification
P	Francesco Moser	Francesco Moser	Francesco Moser	N/A	Reynolds
1	Noël Dejonckheere	Francesco Moser	Noël Dejonckheere	N/A	Reynolds
2	Guido Van Calster	Francesco Moser	Guido Van Calster	N/A	Reynolds
3	Jozef Lieckens	Francesco Moser	Guido Van Calster	N/A	Reynolds
4	Noël Dejonckheere	Francesco Moser	Noël Dejonckheere	N/A	Reynolds
5	Jozef Lieckens	Francesco Moser	Noël Dejonckheere	N/A	Teka
6	Michel Pollentier	Francesco Moser	Noël Dejonckheere	N/A	Teka
7	Éric Caritoux	Pedro Delgado	Noël Dejonckheere	N/A	Teka
8	Roger De Vlaeminck	Pedro Delgado	Noël Dejonckheere	N/A	Teka
9	Orlando Maini	Pedro Delgado	Noël Dejonckheere	N/A	Teka
10	Palmiro Masciarelli	Pedro Delgado	Noël Dejonckheere	N/A	Teka
11	Francesco Moser	Pedro Delgado	Guido Van Calster	N/A	Teka
12	Raimund Dietzen	Éric Caritoux	Guido Van Calster	N/A	Teka
13	Guido Van Calster	Éric Caritoux	Guido Van Calster	N/A	Teka
14	Julián Gorospe	Éric Caritoux	Guido Van Calster	N/A	Teka
15	Antonio Coll	Éric Caritoux	Guido Van Calster	N/A	Teka
16	Daniel Rossel	Éric Caritoux	Guido Van Calster	N/A	Teka
17	José Recio	Éric Caritoux	Guido Van Calster	N/A	Teka
18a	Jesús Suárez Cuevas	Éric Caritoux	Guido Van Calster	N/A	Teka
18b	Julián Gorospe	Éric Caritoux	Guido Van Calster	N/A	Teka
19	Noël Dejonckheere	Éric Caritoux	Guido Van Calster	N/A	Teka
Final	Final	Éric Caritoux	Guido Van Calster	Felipe Yáñez	Teka
