Nat.	Name	Since	Goals	Ends	Transfer fee
ESP	Almunia	2004	0	undisclosed	£ 0.5m
FRA	Sagna	2007	1	2014	£ 7.5m
CIV	Touré ( VC )	2002 (Winter)	14	undisclosed	£ 0.15m
FRA	Gallas (Captain)	2006	13	undisclosed	Part exchange with A. Cole +£5m
FRA	Clichy	2003	1	2012	£ 0.25m
BRA	Denílson	2006	5	undisclosed	£ 3.4m
ESP	Fàbregas ( captain )	2003	29	2014	Free
CMR	Song	2005	3	undisclosed	£ 1.0m
FRA	Nasri	2008	7	undisclosed	£ 12m
TOG	Adebayor	2006 (Winter)	62	undisclosed	£ 3m
NED	v. Persie	2004	63	2011	£ 2.75m
DEN	Bendtner	2004	23	2012	Youth system
CIV	Eboué	2005 (Winter)	6	undisclosed	£ 1.54m
FRA	Diaby	2006 (Winter)	10	undisclosed	£ 2m
ENG	Walcott	2006 (Winter)	14	undisclosed	£ 9.1m
SUI CIV	Djourou	2003	0	undisclosed	Youth system
MEX	Vela	2005	6	2010	£ 0.5m
FRA	Silvestre	2008	2	2010	£ 0.75m
WAL	Ramsey	2008	1	undisclosed	£ 4.8m
ENG	Gibbs	2007	0	undisclosed	Youth system
POL	Fabiański	2007	0	undisclosed	£ 2.0m
RUS	Arshavin	2009 (Winter)	6	2012	£ 15.0m
ENG	Wilshere	2008	1	undisclosed	Youth system
CRO BRA	Eduardo	2007	15	2011	£ 7.5m
POR FRA	Bischoff	2008	0	undisclosed	Free
ITA	Mannone	2005	0	undisclosed	£ 0.35m
CZE	Rosický	2006	13	undisclosed	£ 6.8m
