Runs	Balls	Batsman	Versus	Venue	Date	Strike Rate
172*	151	CB Wishart	Namibia	Harare	10-02-2003	113.91
152	151	SR Tendulkar	Namibia	Pietermaritzburg	23-02-2003	100.66
143*	125	A Symonds	Pakistan	Johannesburg	11-02-2003	114.40
143	141	HH Gibbs	New Zealand	Johannesburg	16-02-2003	101.42
141	125	SB Styris	Sri Lanka	Bloemfontein	10-02-2003	112.80
146*	121	RT Ponting	India	Johannesburg	23-03-2003	115.70
134*	132	SP Fleming	South Africa	Johannesburg	16-02-2003	101.52
134*	129	KJJ van Noortwijk	Namibia	Bloemfontein	03-03-2003	103.88
124	129	MS Atapattu	South Africa	Durban	03-03-2003	96.12
121	142	JF Kloppenburg	Namibia	Bloemfontein	03-03-2003	85.21
Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com
