Week	Date	Opponent	Result	Attendance
1	September 19, 1965	St. Louis Cardinals	W 34–27	54,260
2	September 26, 1965	New York Giants	L 16–14	57,154
3	October 3, 1965	Cleveland Browns	L 35–17	60,759
4	October 10, 1965	at Dallas Cowboys	W 35–24	56,249
5	October 17, 1965	at New York Giants	L 35–27	62,815
6	October 24, 1965	Pittsburgh Steelers	L 20–14	56,515
7	October 31, 1965	at Washington Redskins	L 23–21	50,301
8	November 7, 1965	at Cleveland Browns	L 38–34	72,807
9	November 14, 1965	Washington Redskins	W 21–14	60,444
10	November 21, 1965	at Baltimore Colts	L 34–24	60,238
11	November 28, 1965	St. Louis Cardinals	W 28–24	28,706
12	December 5, 1965	Dallas Cowboys	L 21–19	54,714
13	December 12, 1965	at Pittsburgh Steelers	W 47–13	22,002
14	December 19, 1965	Detroit Lions	L 35–28	56,718
