Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Bačka Palanka	Бачка Паланка	town	28239	Serbs	Orthodox Christianity
Čelarevo	Челарево	village	4831	Serbs	Orthodox Christianity
Despotovo	Деспотово	village	1853	Serbs	Orthodox Christianity
Gajdobra	Гајдобра	village	2578	Serbs	Orthodox Christianity
Karađorđevo	Карађорђево	village	738	Serbs	Orthodox Christianity
Mladenovo	Младеново	village	2679	Serbs	Orthodox Christianity
Neštin	Нештин	village	794	Serbs	Orthodox Christianity
Nova Gajdobra	Нова Гајдобра	village	1220	Serbs	Orthodox Christianity
Obrovac	Обровац	village	2944	Serbs	Orthodox Christianity
Parage	Параге	village	921	Serbs	Orthodox Christianity
Pivnice	Пивнице (Slovak: Pivnice)	village	3337	Slovaks	Protestantism
Silbaš	Силбаш	village	2467	Serbs	Orthodox Christianity
Tovariševo	Товаришево	village	2657	Serbs	Orthodox Christianity
